Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Greg Zuerlein,LA,@ NYG,W  51-17,3,3,6,6,15
Matt Prater,DET,@ GB,W  30-17,3,4,3,3,12
Josh Lambo,JAX,vs CIN,W  23-7,3,3,2,2,11
Brandon McManus,DEN,@ PHI,L  23-51,3,3,2,2,11
Chandler Catanzaro,NYJ,vs BUF,W  34-21,2,2,4,4,10
Jake Elliott,PHI,vs DEN,W  51-23,1,1,6,7,9
Giorgio Tavecchio,OAK,@ MIA,W  27-24,2,2,3,3,9
Phil Dawson,ARI,@ SF,W  20-10,2,3,2,2,8
Graham Gano,CAR,vs ATL,W  20-17,2,2,2,2,8
Justin Tucker,BAL,@ TEN,L  20-23,2,2,2,2,8
Adam Vinatieri,IND,@ HOU,W  20-14,2,2,2,2,8
Wil Lutz,NO,vs TB,W  30-10,1,2,3,4,6
Matt Bryant,ATL,@ CAR,L  17-20,1,1,2,2,5
Harrison Butker,KC,@ DAL,L  17-28,1,1,2,2,5
Mason Crosby,GB,vs DET,L  17-30,1,2,2,2,5
Aldrick Rosas,NYG,vs LA,L  17-51,1,2,2,2,5
Nick Rose,WAS,@ SEA,W  17-14,1,1,2,2,5
Ryan Succop,TEN,vs BAL,W  23-20,1,1,2,3,5
Robbie Gould,SF,vs ARI,L  10-20,1,1,1,1,4
Patrick Murray,TB,@ NO,L  10-30,1,2,1,1,4
Mike Nugent,DAL,vs KC,W  28-17,0,0,4,4,4
Cody Parkey,MIA,vs OAK,L  24-27,1,1,1,2,4
Stephen Hauschka,BUF,@ NYJ,L  21-34,0,0,3,3,3
Ka'imi Fairbairn,HOU,vs IND,L  14-20,0,1,2,2,2
Marshall Koehn,CIN,@ JAX,L  7-23,0,0,1,1,1
Blair Walsh,SEA,vs WAS,L  14-17,0,3,0,0,0
