Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Brett Kern,TEN,@ SF,L  23-25,2,111,55.5,49.5,0,1,59,0
Tress Way,WAS,vs ARI,W  20-15,6,319,53.2,42.7,1,2,56,0
Riley Dixon,DEN,@ IND,W  25-13,1,52,52.0,52.0,0,1,52,0
Andy Lee,ARI,@ WAS,L  15-20,5,251,50.2,46.6,0,2,62,0
Drew Kaser,LAC,@ KC,L  13-30,3,149,49.7,42.7,1,2,61,0
Ryan Allen,NE,@ PIT,W  27-24,2,96,48.0,47.0,0,1,54,0
Bryan Anger,TB,vs ATL,L  21-24,4,191,47.8,38.5,1,2,57,0
Jon Ryan,SEA,vs LA,L  7-42,9,427,47.4,31.0,1,0,61,0
Brad Nortman,JAX,vs HOU,W  45-7,6,283,47.2,44.5,0,3,65,0
Shane Lechler,HOU,@ JAX,L  7-45,11,518,47.1,41.9,0,3,58,0
Matt Haack,MIA,@ BUF,L  16-24,4,187,46.8,41.3,1,1,58,0
Donnie Jones,PHI,@ NYG,W  34-29,4,187,46.8,40.0,1,1,49,0
Thomas Morstead,NO,vs NYJ,W  31-19,4,187,46.8,46.8,0,1,53,0
Kevin Huber,CIN,@ MIN,L  7-34,8,365,45.6,40.5,0,2,53,0
Marquette King,OAK,vs DAL,L  17-20,4,182,45.5,41.8,0,1,57,0
Sam Martin,DET,vs CHI,W  20-10,4,182,45.5,40.0,1,2,64,0
Lachlan Edwards,NYJ,@ NO,L  19-31,7,316,45.1,40.0,0,2,58,0
Pat O'Donnell,CHI,@ DET,L  10-20,5,225,45.0,35.8,0,2,51,0
Michael Palardy,CAR,vs GB,W  31-24,4,174,43.5,39.8,0,2,55,0
Ryan Quigley,MIN,vs CIN,W  34-7,5,217,43.4,41.0,0,3,53,0
Britton Colquitt,CLE,vs BAL,L  10-27,5,216,43.2,43.2,0,0,51,0
Dustin Colquitt,KC,vs LAC,W  30-13,3,129,43.0,41.0,0,2,51,0
Chris Jones,DAL,@ OAK,W  20-17,2,86,43.0,43.0,0,0,43,0
Sam Koch,BAL,@ CLE,W  27-10,5,215,43.0,40.8,0,4,58,0
Bradley Pinion,SF,vs TEN,W  25-23,1,43,43.0,43.0,0,0,43,0
Jordan Berry,PIT,vs NE,L  24-27,4,171,42.8,40.0,0,1,60,0
Johnny Hekker,LA,@ SEA,W  42-7,5,213,42.6,39.0,0,2,49,0
Rigoberto Sanchez,IND,vs DEN,L  13-25,4,164,41.0,41.0,0,2,47,0
Colton Schmidt,BUF,vs MIA,W  24-16,5,205,41.0,34.4,0,3,52,0
Justin Vogel,GB,@ CAR,L  24-31,2,82,41.0,38.5,0,2,50,0
Matt Bosher,ATL,@ TB,W  24-21,4,161,40.3,32.8,0,2,53,0
Brad Wing,NYG,vs PHI,L  29-34,2,74,37.0,24.7,0,0,40,1
