Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Stephen Gostkowski,NE,vs TEN,W  33-16,4,5,3,3,15
Mason Crosby,GB,@ OAK,W  30-20,3,4,3,3,12
Stephen Hauschka,SEA,vs CLE,W  30-13,3,3,3,3,12
Connor Barth,TB,@,L  23-31,3,3,2,2,11
Shayne Graham,ATL,@ JAX,W  23-17,3,3,2,2,11
Dan Bailey,DAL,vs NYJ,L  16-19,3,3,1,1,10
Chris Boswell,PIT,vs DEN,W  34-27,2,2,4,4,10
Chandler Catanzaro,ARI,@ PHI,W  40-17,2,2,4,5,10
Nick Novak,HOU,@ IND,W  16-10,3,4,1,1,10
Cairo Santos,KC,@ BAL,W  34-14,2,2,4,4,10
Kai Forbath,NO,vs DET,L  27-35,2,2,3,3,9
Graham Gano,CAR,@ NYG,W  38-35,1,2,5,5,8
Sebastian Janikowski,OAK,vs GB,L  20-30,2,2,2,2,8
Blair Walsh,MIN,vs CHI,W  38-17,1,1,5,5,8
Randy Bullock,NYJ,@ DAL,W  19-16,2,3,1,2,7
Travis Coons,CLE,@ SEA,L  13-30,2,2,1,1,7
Greg Zuerlein,,vs TB,W  31-23,1,1,4,4,7
Josh Lambo,,vs MIA,W  30-14,1,2,3,4,6
Mike Nugent,CIN,@ SF,W  24-14,1,1,3,3,6
Josh Brown,NYG,vs CAR,L  35-38,0,0,5,5,5
Dan Carpenter,BUF,@ WAS,L  25-35,1,1,2,2,5
Robbie Gould,CHI,@ MIN,L  17-38,1,1,2,2,5
Dustin Hopkins,WAS,vs BUF,W  35-25,0,0,5,5,5
Jason Myers,JAX,vs ATL,L  17-23,1,1,2,2,5
Matt Prater,DET,@ NO,W  35-27,0,1,5,5,5
Caleb Sturgis,PHI,vs ARI,L  17-40,1,1,2,2,5
Ryan Succop,TEN,@ NE,L  16-33,1,1,1,2,4
Adam Vinatieri,IND,vs HOU,L  10-16,1,1,1,1,4
Brandon McManus,DEN,@ PIT,L  27-34,0,0,3,4,3
Phil Dawson,SF,vs CIN,L  14-24,0,1,2,2,2
Andrew Franks,MIA,@,L  14-30,0,0,2,2,2
Justin Tucker,BAL,vs KC,L  14-34,0,0,2,2,2
