Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Dustin Hopkins,WAS,vs NO,W  47-14,4,4,5,5,17
Cairo Santos,KC,@ DEN,W  29-13,5,6,2,2,17
Josh Brown,NYG,vs NE,L  26-27,4,4,2,2,14
Chandler Catanzaro,ARI,@ SEA,W  39-32,3,3,4,4,13
Robbie Gould,CHI,@,W  37-13,3,3,4,4,13
Blair Walsh,MIN,@ OAK,W  30-14,3,5,3,3,12
Chris Boswell,PIT,vs CLE,W  30-9,3,3,1,2,10
Dan Carpenter,BUF,@ NYJ,W  22-17,3,3,1,2,10
Jason Myers,,@ BAL,W  22-20,3,4,1,1,10
Graham Gano,CAR,@ TEN,W  27-10,2,2,3,3,9
Stephen Gostkowski,NE,@ NYG,W  27-26,2,2,3,3,9
Andrew Franks,MIA,@ PHI,W  20-19,2,2,2,2,8
Stephen Hauschka,SEA,vs ARI,L  32-39,2,2,2,2,8
Greg Zuerlein,,vs CHI,L  13-37,2,2,1,1,7
Dan Bailey,DAL,@ TB,L  6-10,2,3,0,0,6
Mike Nugent,CIN,vs HOU,L  6-10,2,2,0,0,6
Matt Prater,DET,@ GB,W  18-16,2,2,0,2,6
Randy Bullock,NYJ,vs BUF,L  17-22,1,1,2,2,5
Caleb Sturgis,PHI,vs MIA,L  19-20,1,2,2,2,5
Connor Barth,TB,vs DAL,W  10-6,1,2,1,1,4
Mason Crosby,GB,vs DET,L  16-18,1,2,1,1,4
Nick Novak,HOU,@ CIN,W  10-6,1,1,1,1,4
Ryan Succop,TEN,vs CAR,L  10-27,1,1,1,1,4
Travis Coons,CLE,@ PIT,L  9-30,1,1,0,1,3
Kai Forbath,NO,@ WAS,L  14-47,0,0,2,2,2
Sebastian Janikowski,OAK,vs MIN,L  14-30,0,0,2,2,2
Justin Tucker,BAL,vs,L  20-22,0,1,2,2,2
Brandon McManus,DEN,vs KC,L  13-29,0,0,1,1,1
