Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Fletcher Cox,PHI,vs NO,W  39-17,3.0,25.0,3,6,0,2,1
Lawrence Guy,BAL,vs CLE,L  30-33,2.0,15.0,3,3,3,0,0
Greg Hardy,DAL,vs NE,L  6-30,2.0,7.0,5,4,1,1,0
Howard Jones,TB,vs,W  38-31,2.0,15.0,2,2,0,0,0
Ryan Kerrigan,WAS,@ ATL,L  19-25,2.0,12.0,2,3,0,0,0
Damontre Moore,NYG,vs SF,W  30-27,2.0,6.0,2,3,0,1,0
Jabaal Sheard,NE,@ DAL,W  30-6,2.0,15.0,3,3,0,0,0
Allen Bailey,KC,vs CHI,L  17-18,1.5,7.0,2,5,2,1,0
Jurrell Casey,TEN,vs BUF,L  13-14,1.5,5.5,2,4,2,0,0
Carlos Dunlap,CIN,vs SEA,W  27-24,1.5,11.0,6,3,3,0,0
Clay Matthews,GB,vs,W  24-10,1.5,11.5,4,3,2,0,0
Gerald McCoy,TB,vs,W  38-31,1.5,5.5,2,1,2,0,0
Derrick Morgan,TEN,vs BUF,L  13-14,1.5,13.5,2,1,2,0,0
Kwon Alexander,TB,vs,W  38-31,1.0,5.5,2,3,2,0,0
Ezekiel Ansah,DET,vs ARI,L  17-42,1.0,7.0,2,1,0,0,0
Geno Atkins,CIN,vs SEA,W  27-24,1.0,0.0,1,2,2,0,0
Cliff Avril,SEA,@ CIN,L  24-27,1.0,7.0,1,4,2,0,0
Chris Baker,WAS,@ ATL,L  19-25,1.0,0.0,1,2,0,2,0
Shaquil Barrett,DEN,@ OAK,W  16-10,1.0,7.0,1,2,2,0,0
Michael Bennett,SEA,@ CIN,L  24-27,1.0,6.0,1,5,1,1,0
Bryan Braman,PHI,vs NO,W  39-17,1.0,11.0,1,1,0,0,0
Michael Brockers,,@ GB,L  10-24,1.0,3.0,1,2,1,0,0
Armonty Bryant,CLE,@ BAL,W  33-30,1.0,14.0,1,2,3,0,0
