Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Chris Boswell,PIT,vs MIN,W  26-9,4,4,2,2,14
Cody Parkey,MIA,@ LAC,W  19-17,4,4,1,1,13
Ryan Succop,TEN,@ JAX,W  37-16,3,3,4,4,13
Stephen Gostkowski,NE,@ NO,W  36-20,3,3,3,4,12
Nick Folk,TB,vs CHI,W  29-7,3,3,2,3,11
Matt Bryant,ATL,vs GB,W  34-23,2,2,4,4,10
Phil Dawson,ARI,@ IND,W  16-13,3,4,1,1,10
Randy Bullock,CIN,vs HOU,L  9-13,3,3,0,0,9
Graham Gano,CAR,vs BUF,W  9-3,3,3,0,0,9
Robbie Gould,SF,@ SEA,L  9-12,3,3,0,0,9
Dustin Hopkins,WAS,@ LA,W  27-20,2,3,3,3,9
Cairo Santos,KC,vs PHI,W  27-20,2,2,3,3,9
Giorgio Tavecchio,OAK,vs NYJ,W  45-20,1,1,6,6,9
Chandler Catanzaro,NYJ,@ OAK,L  20-45,2,2,2,2,8
Jake Elliott,PHI,@ KC,L  20-27,2,3,2,2,8
Wil Lutz,NO,vs NE,L  20-36,2,3,2,2,8
Greg Zuerlein,LA,vs WAS,L  20-27,2,2,2,2,8
Ka'imi Fairbairn,HOU,@ CIN,W  13-9,2,2,1,1,7
Adam Vinatieri,IND,vs ARI,L  13-16,2,2,1,1,7
Brandon McManus,DEN,vs DAL,W  42-17,0,1,6,6,6
Matt Prater,DET,@ NYG,W  24-10,1,1,3,3,6
Justin Tucker,BAL,vs CLE,W  24-10,1,2,3,3,6
Blair Walsh,SEA,vs SF,W  12-9,2,2,0,1,6
Dan Bailey,DAL,@ DEN,L  17-42,1,1,2,2,5
Mason Crosby,GB,@ ATL,L  23-34,1,1,2,2,5
Younghoe Koo,LAC,vs MIA,L  17-19,1,3,2,2,5
Zane Gonzalez,CLE,@ BAL,L  10-24,1,1,1,1,4
Jason Myers,JAX,vs TEN,L  16-37,1,1,1,1,4
Aldrick Rosas,NYG,vs DET,L  10-24,1,1,1,1,4
Kai Forbath,MIN,@ PIT,L  9-26,1,1,0,1,3
Stephen Hauschka,BUF,@ CAR,L  3-9,1,1,0,0,3
Connor Barth,CHI,@ TB,L  7-29,0,0,1,1,1
