Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Sebastian Janikowski,SEA,@ CAR,W  30-27,3,3,3,3,12
Ka'imi Fairbairn,HOU,vs TEN,W  34-17,2,2,4,4,10
Aldrick Rosas,NYG,@ PHI,L  22-25,3,3,1,1,10
Justin Tucker,BAL,vs OAK,W  34-17,2,2,4,4,10
Michael Badgley,LAC,vs ARI,W  45-10,1,1,6,6,9
Jake Elliott,PHI,vs NYG,W  25-22,3,3,0,0,9
Graham Gano,CAR,vs SEA,L  27-30,2,3,3,3,9
Stephen Gostkowski,NE,@ NYJ,W  27-13,2,2,3,3,9
Cairo Santos,TB,vs SF,W  27-9,2,2,3,3,9
Adam Vinatieri,IND,vs MIA,W  27-24,2,3,3,3,9
Wil Lutz,NO,vs ATL,W  31-17,1,1,4,4,7
Brett Maher,DAL,vs WAS,W  31-23,1,1,4,4,7
Jason Myers,NYJ,vs NE,L  13-27,2,2,1,1,7
Dan Bailey,MIN,vs GB,W  24-17,1,3,3,3,6
Stephen Hauschka,BUF,vs JAX,W  24-21,1,1,3,3,6
Brandon McManus,DEN,vs PIT,W  24-17,1,1,3,3,6
Jason Sanders,MIA,@ IND,L  24-27,1,1,3,3,6
Chris Boswell,PIT,@ DEN,L  17-24,1,2,2,2,5
Matt Bryant,ATL,@ NO,L  17-31,1,1,2,2,5
Daniel Carlson,OAK,@ BAL,L  17-34,1,1,2,2,5
Mason Crosby,GB,@ MIN,L  17-24,1,1,2,2,5
Dustin Hopkins,WAS,@ DAL,L  23-31,1,1,2,3,5
Greg Joseph,CLE,@ CIN,W  35-20,0,0,5,5,5
Cody Parkey,CHI,@ DET,W  23-16,1,1,2,2,5
Ryan Succop,TEN,@ HOU,L  17-34,1,1,2,2,5
Phil Dawson,ARI,@ LAC,L  10-45,1,2,1,1,4
Matt Prater,DET,vs CHI,L  16-23,1,1,1,1,4
Robbie Gould,SF,@ TB,L  9-27,1,1,0,1,3
Josh Lambo,JAX,@ BUF,L  21-24,0,1,3,3,3
Randy Bullock,CIN,vs CLE,L  20-35,0,1,2,3,2
