Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Kellen Moore,DAL,vs WAS,L  23-34,33,48,435,3,2,4,1,100.6
Blaine Gabbert,SF,vs,W  19-16,28,44,354,1,1,1,0,86.7
Ryan Tannehill,MIA,vs NE,W  20-10,25,38,350,2,0,1,0,112.8
Ben Roethlisberger,PIT,@ CLE,W  28-12,24,36,349,3,2,0,0,102.7
Matt Ryan,ATL,vs NO,L  17-20,24,36,334,2,1,1,0,103.2
Jameis Winston,TB,@ CAR,L  10-38,29,47,325,0,2,2,0,64.6
Drew Brees,NO,@ ATL,W  20-17,32,42,323,1,0,0,0,105.6
Sam Bradford,PHI,@ NYG,W  35-30,30,38,320,2,1,1,0,108.3
Eli Manning,NYG,vs PHI,L  30-35,24,43,302,2,0,2,1,93.4
Matthew Stafford,DET,@ CHI,W  24-20,28,39,298,3,0,4,0,119.4
Cam Newton,CAR,vs TB,W  38-10,21,26,293,2,0,4,0,139.3
Ryan Mallett,BAL,@ CIN,L  16-24,30,56,292,1,2,1,0,59.5
Aaron Rodgers,GB,vs MIN,L  13-20,28,44,291,1,1,5,1,80.8
Brian Hoyer,HOU,vs,W  30-6,25,40,249,1,1,2,0,78.0
Jay Cutler,CHI,vs DET,L  20-24,17,23,245,2,3,4,0,97.5
Austin Davis,CLE,vs PIT,L  12-28,24,46,240,0,2,7,1,49.2
Blake Bortles,,@ HOU,L  6-30,17,32,239,0,2,8,1,51.4
Brock Osweiler,DEN,vs,W  27-20,14,22,232,1,2,1,1,76.3
Case Keenum,,@ SF,L  16-19,22,37,231,0,0,0,0,77.6
Philip Rivers,,@ DEN,L  20-27,21,35,228,2,1,3,0,86.4
Russell Wilson,SEA,@ ARI,W  36-6,19,28,197,3,0,1,0,123.7
Derek Carr,OAK,@ KC,L  17-23,21,33,194,1,1,6,0,77.1
Tyrod Taylor,BUF,vs NYJ,W  22-17,18,28,182,0,0,2,0,82.7
Ryan Fitzpatrick,NYJ,@ BUF,L  17-22,16,37,181,2,3,1,0,42.7
Kirk Cousins,WAS,@ DAL,W  34-23,12,15,176,3,0,0,0,155.1
A.J. McCarron,CIN,vs BAL,W  24-16,17,27,160,2,0,3,0,103.9
Alex Smith,KC,vs OAK,W  23-17,14,24,156,2,2,1,0,70.8
Josh Freeman,IND,vs TEN,W  30-24,15,28,149,1,1,1,0,65.9
Tom Brady,NE,@ MIA,L  10-20,12,21,134,0,0,2,0,76.3
Carson Palmer,ARI,vs SEA,L  6-36,12,25,129,1,1,0,0,60.2
Colt McCoy,WAS,@ DAL,W  34-23,7,11,128,1,0,1,0,133.9
Teddy Bridgewater,MIN,@ GB,W  20-13,10,19,99,0,1,3,0,45.7
Alex Tanney,TEN,@ IND,L  24-30,10,14,99,1,0,3,0,114.9
Drew Stanton,ARI,vs SEA,L  6-36,8,18,84,0,2,2,0,19.0
Peyton Manning,DEN,vs,W  27-20,5,9,69,0,0,1,0,80.3
Ryan Lindley,IND,vs TEN,W  30-24,6,10,58,1,0,0,0,109.6
Zach Mettenberger,TEN,@ IND,L  24-30,5,13,38,0,1,1,0,14.6
Tarvaris Jackson,SEA,@ ARI,W  36-6,3,4,28,0,0,0,0,93.8
Jimmy Garoppolo,NE,@ MIA,L  10-20,1,4,6,0,0,0,0,39.6
Cairo Santos,KC,vs OAK,W  23-17,1,1,3,0,0,0,0,79.2
Travaris Cadet,NO,@ ATL,W  20-17,0,1,0,0,0,0,1,39.6
Jonathan Grimes,HOU,vs,W  30-6,0,1,0,0,0,0,0,39.6
Johnny Hekker,,@ SF,L  16-19,0,1,0,0,0,0,0,39.6
Marc Mariani,CHI,vs DET,L  20-24,0,0,0,0,0,1,0,0.0
