Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Ben Roethlisberger,PIT,@ SEA,L  30-39,36,55,456,1,2,2,0,82.1
Ryan Tannehill,MIA,@ NYJ,L  20-38,33,58,351,3,1,3,1,84.8
Russell Wilson,SEA,vs PIT,W  39-30,21,30,345,5,0,2,0,147.9
Matthew Stafford,DET,vs PHI,W  45-14,27,38,337,5,0,2,0,137.8
Derek Carr,OAK,@ TEN,W  24-21,24,37,330,3,0,1,1,120.3
Blake Bortles,JAX,vs,L  25-31,30,49,329,2,1,2,0,86.2
Eli Manning,NYG,@ WAS,L  14-20,26,51,321,2,3,3,0,59.4
Blaine Gabbert,SF,vs ARI,L  13-19,25,36,318,1,1,2,0,94.4
Matt Hasselbeck,IND,vs TB,W  25-12,26,42,315,2,0,3,0,100.8
Kirk Cousins,WAS,vs NYG,W  20-14,20,29,302,1,0,0,0,114.4
Philip Rivers,,@ JAX,W  31-25,29,43,300,4,0,2,0,118.4
Tyrod Taylor,BUF,@ KC,L  22-30,21,38,291,3,0,1,1,106.4
Tom Brady,NE,@ DEN,L  24-30,23,42,280,3,0,3,0,99.3
Ryan Fitzpatrick,NYJ,vs MIA,W  38-20,22,37,277,4,0,1,0,118.9
Carson Palmer,ARI,@ SF,W  19-13,24,40,271,0,0,1,0,80.3
Brock Osweiler,DEN,vs NE,W  30-24,23,42,270,1,1,3,0,72.5
Alex Smith,KC,vs BUF,W  30-22,19,30,255,2,0,1,0,112.5
Jameis Winston,TB,@ IND,L  12-25,20,36,245,1,1,5,0,74.4
Andy Dalton,CIN,vs,W  31-7,20,27,233,3,1,0,0,121.4
Matt Schaub,BAL,@ CLE,W  33-27,20,34,232,2,2,0,0,74.6
Matt Ryan,ATL,vs MIN,L  10-20,22,31,230,1,2,2,0,76.0
Drew Brees,NO,@ HOU,L  6-24,25,44,228,0,1,2,0,61.6
Nick Foles,,@ CIN,L  7-31,30,46,228,0,3,1,0,49.9
Marcus Mariota,TEN,vs OAK,L  21-24,17,37,218,3,2,2,0,69.4
Josh McCown,CLE,vs BAL,L  27-33,21,38,212,1,0,1,0,80.2
Brian Hoyer,HOU,vs NO,W  24-6,21,27,205,2,1,1,0,107.6
Aaron Rodgers,GB,vs CHI,L  13-17,22,43,202,1,1,2,0,62.4
Jay Cutler,CHI,@ GB,W  17-13,19,31,200,1,0,1,0,90.8
Mark Sanchez,PHI,@ DET,L  14-45,19,27,199,2,0,6,1,116.1
Cam Newton,CAR,@ DAL,W  33-14,16,27,183,0,0,1,0,79.7
Teddy Bridgewater,MIN,@ ATL,W  20-10,20,28,174,0,1,0,0,72.6
Tony Romo,DAL,vs CAR,L  14-33,11,21,106,0,3,1,0,27.2
Matt Cassel,DAL,vs CAR,L  14-33,13,19,93,1,0,1,0,97.0
Austin Davis,CLE,vs BAL,L  27-33,7,10,77,1,0,1,0,125.8
Landry Jones,PIT,@ SEA,L  30-39,1,4,34,0,2,0,0,22.9
Sean Mannion,,@ CIN,L  7-31,6,7,31,0,0,0,0,85.1
A.J. McCarron,CIN,vs,W  31-7,1,1,3,0,0,0,0,79.2
Matthew McGloin,OAK,@ TEN,W  24-21,0,1,0,0,0,0,0,39.6
