Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Cameron Heyward,PIT,vs KC,W  43-14,3.0,16.0,3,7,0,0,0
Derek Wolfe,DEN,@ TB,W  27-7,2.5,16.0,5,5,1,0,0
Carlos Dunlap,CIN,vs MIA,W  22-7,2.0,14.0,2,4,1,1,0
Cam Johnson,CLE,@ WAS,L  20-31,2.0,17.0,3,3,1,1,0
Geno Atkins,CIN,vs MIA,W  22-7,1.5,10.5,3,1,1,0,0
Aaron Donald,LA,@ ARI,W  17-13,1.5,9.5,5,4,1,1,0
Nick Fairley,NO,@,W  35-34,1.5,6.5,6,2,1,0,0
Clinton McDonald,TB,vs DEN,L  7-27,1.5,8.5,2,6,2,0,0
Paul Posluszny,JAX,vs IND,W  30-27,1.5,17.0,2,5,2,0,0
Lorenzo Alexander,BUF,@ NE,W  16-0,1.0,0.0,1,3,1,0,0
Maurice Alexander,LA,@ ARI,W  17-13,1.0,9.0,1,4,1,0,0
Kwon Alexander,TB,vs DEN,L  7-27,1.0,0.0,2,7,0,0,0
Tyson Alualu,JAX,vs IND,W  30-27,1.0,8.0,1,1,1,0,0
Jeremiah Attaochu,,vs NO,L  34-35,1.0,5.0,1,3,0,0,0
Cliff Avril,SEA,@ NYJ,W  27-17,1.0,0.0,2,2,2,1,0
Akeem Ayers,IND,@ JAX,L  27-30,1.0,5.0,1,3,0,0,0
Michael Bennett,SEA,@ NYJ,W  27-17,1.0,4.0,1,3,0,0,0
Briean Boddy-Calhoun,CLE,@ WAS,L  20-31,1.0,10.0,1,1,0,0,0
Navorro Bowman,SF,vs DAL,L  17-24,1.0,8.0,1,7,1,0,0
Alan Branch,NE,vs BUF,L  0-16,1.0,0.0,1,4,1,0,0
Zach Brown,BUF,@ NE,W  16-0,1.0,4.0,2,12,5,2,0
Will Clarke,CIN,vs MIA,W  22-7,1.0,0.0,1,1,1,0,0
Jadeveon Clowney,HOU,vs TEN,W  27-20,1.0,6.0,2,2,0,0,0
Tyrone Crawford,DAL,@ SF,W  24-17,1.0,7.0,1,3,1,0,0
Dwight Freeney,ATL,vs CAR,W  48-33,1.0,8.0,2,1,0,0,0
Markus Golden,ARI,vs LA,L  13-17,1.0,14.0,2,2,0,0,0
Akiem Hicks,CHI,vs DET,W  17-14,1.0,7.0,2,2,1,0,0
Jaye Howard,KC,@ PIT,L  14-43,1.0,8.0,1,3,3,0,0
Jerry Hughes,BUF,@ NE,W  16-0,1.0,14.0,2,2,1,0,0
Kerry Hyder,DET,@ CHI,L  14-17,1.0,1.0,2,1,0,0,0
Melvin Ingram,,vs NO,L  34-35,1.0,10.0,1,5,0,0,0
Bruce Irvin,OAK,@ BAL,W  28-27,1.0,9.0,3,2,0,1,0
Chandler Jones,ARI,vs LA,L  13-17,1.0,5.0,1,4,0,1,1
Cameron Jordan,NO,@,W  35-34,1.0,5.0,2,4,0,1,0
Luke Kuechly,CAR,@ ATL,L  33-48,1.0,7.0,1,11,1,0,0
Kyle Love,CAR,@ ATL,L  33-48,1.0,7.0,1,1,0,0,0
Khalil Mack,OAK,@ BAL,W  28-27,1.0,7.0,3,4,2,0,0
Sen'Derrick Marks,JAX,vs IND,W  30-27,1.0,3.0,4,2,0,0,0
Bobby McCain,MIA,@ CIN,L  7-22,1.0,11.0,1,2,2,0,0
Gerald McCoy,TB,vs DEN,L  7-27,1.0,11.0,1,1,1,0,0
Trent Murphy,WAS,vs CLE,W  31-20,1.0,6.0,1,5,0,0,0
Yannick Ngakoue,JAX,vs IND,W  30-27,1.0,7.0,1,4,0,1,0
Brian Orakpo,TEN,@ HOU,L  20-27,1.0,10.0,2,1,3,0,0
Jabaal Sheard,NE,vs BUF,L  0-16,1.0,2.0,0,3,0,0,0
Kawann Short,CAR,@ ATL,L  33-48,1.0,8.0,1,4,1,0,0
Buster Skrine,NYJ,vs SEA,L  17-27,1.0,14.0,1,3,1,0,0
Darius Slay,DET,@ CHI,L  14-17,1.0,7.0,1,4,0,0,0
Chris Smith,JAX,vs IND,W  30-27,1.0,4.0,1,2,0,0,0
Bobby Wagner,SEA,@ NYJ,W  27-17,1.0,6.0,2,6,4,0,0
