Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Melvin Ingram,LAC,vs KC,L  10-24,3.0,18.0,3,6,0,0,0
Demarcus Lawrence,DAL,@ ARI,W  28-17,3.0,24.0,6,5,0,0,0
Carl Lawson,CIN,@ GB,L  24-27,2.5,19.5,3,3,1,0,0
Jadeveon Clowney,HOU,@ NE,L  33-36,2.0,15.0,3,6,0,0,1
Maliek Collins,DAL,@ ARI,W  28-17,2.0,12.0,2,4,1,0,0
Josh Jones,GB,vs CIN,W  27-24,2.0,14.0,2,11,1,0,0
Jamal Adams,NYJ,vs MIA,W  20-6,1.0,10.0,1,2,0,0,0
Mario Addison,CAR,vs NO,L  13-34,1.0,7.0,1,2,4,0,0
Lorenzo Alexander,BUF,vs DEN,W  26-16,1.0,0.0,1,2,0,0,0
Jonathan Allen,WAS,vs OAK,W  27-10,1.0,7.0,2,0,2,0,0
Allen Bailey,KC,@ LAC,W  24-10,1.0,0.0,0,2,2,0,0
Connor Barwin,LA,@ SF,W  41-39,1.0,7.0,1,3,2,0,0
David Bass,NYJ,vs MIA,W  20-6,1.0,3.0,1,3,0,0,0
Joey Bosa,LAC,vs KC,L  10-24,1.0,6.0,1,4,2,0,0
Andre Branch,MIA,@ NYJ,L  6-20,1.0,5.0,1,2,1,0,0
Jay Bromley,NYG,@ PHI,L  24-27,1.0,8.0,1,1,1,0,0
Ahmad Brooks,GB,vs CIN,W  27-24,1.0,7.0,2,2,0,0,0
Bryce Callahan,CHI,vs PIT,W  23-17,1.0,12.0,1,3,1,1,0
Anthony Chickillo,PIT,@ CHI,L  17-23,1.0,10.0,1,1,0,0,0
Adrian Clayborn,ATL,@ DET,W  30-26,1.0,8.0,2,2,0,0,0
Christian Covington,HOU,@ NE,L  33-36,1.0,12.0,1,3,0,1,0
Tyrone Crawford,DAL,@ ARI,W  28-17,1.0,6.0,2,2,1,0,0
Todd Davis,DEN,@ BUF,L  16-26,1.0,2.0,1,9,1,0,0
Darqueze Dennard,CIN,@ GB,L  24-27,1.0,0.0,0,7,3,0,0
Aaron Donald,LA,@ SF,W  41-39,1.0,8.0,2,2,1,0,0
Carlos Dunlap,CIN,@ GB,L  24-27,1.0,0.0,2,3,0,0,0
Trey Flowers,NE,vs HOU,W  36-33,1.0,2.0,2,3,3,0,0
Dante Fowler,JAX,vs BAL,W  44-7,1.0,5.0,1,2,0,0,0
Morgan Fox,LA,@ SF,W  41-39,1.0,5.0,1,1,0,0,0
Marcus Gilchrist,HOU,@ NE,L  33-36,1.0,8.0,0,2,1,1,0
Everson Griffen,MIN,vs TB,W  34-17,1.0,3.0,2,1,0,0,0
Javon Hargrave,PIT,@ CHI,L  17-23,1.0,7.0,1,2,0,0,0
Shelby Harris,DEN,@ BUF,L  16-26,1.0,5.0,1,1,1,0,0
Trey Hendrickson,NO,@ CAR,W  34-13,1.0,10.0,1,1,1,1,0
Justin Houston,KC,@ LAC,W  24-10,1.0,11.0,2,4,2,0,0
Michael Johnson,CIN,@ GB,L  24-27,1.0,7.0,2,3,0,0,0
Chandler Jones,ARI,vs DAL,L  17-28,1.0,9.0,2,3,0,0,0
Cameron Jordan,NO,@ CAR,W  34-13,1.0,6.0,2,3,4,0,0
Devon Kennard,NYG,@ PHI,L  24-27,1.0,6.0,1,1,2,0,0
Ryan Kerrigan,WAS,vs OAK,W  27-10,1.0,5.0,1,4,0,0,0
Hau'oli Kikaha,NO,@ CAR,W  34-13,1.0,2.0,1,1,0,0,0
Shaq Lawson,BUF,vs DEN,W  26-16,1.0,1.0,0,1,0,0,0
Matt Longacre,LA,@ SF,W  41-39,1.0,4.0,1,2,1,0,0
Khalil Mack,OAK,@ WAS,L  10-27,1.0,9.0,3,5,4,0,0
Cassius Marsh,NE,vs HOU,W  36-33,1.0,7.0,1,4,0,1,0
Brandon Marshall,DEN,@ BUF,L  16-26,1.0,2.0,0,8,2,0,0
Chris McCain,LAC,vs KC,L  10-24,1.0,9.0,1,2,0,0,0
Takkarist McKinley,ATL,@ DET,W  30-26,1.0,3.0,1,2,0,0,0
Pernell McPhee,CHI,vs PIT,W  23-17,1.0,3.0,1,3,0,0,0
Whitney Mercilus,HOU,@ NE,L  33-36,1.0,6.0,1,5,0,1,0
Von Miller,DEN,@ BUF,L  16-26,1.0,7.0,2,6,0,0,0
Emmanuel Ogbah,CLE,@ IND,L  28-31,1.0,0.0,1,2,4,0,0
Alex Okafor,NO,@ CAR,W  34-13,1.0,10.0,1,3,2,1,0
Nate Orchard,CLE,@ IND,L  28-31,1.0,7.0,1,1,2,0,0
John Simon,IND,vs CLE,W  31-28,1.0,7.0,4,4,2,0,0
Buster Skrine,NYJ,vs MIA,W  20-6,1.0,12.0,1,8,0,0,0
Preston Smith,WAS,vs OAK,W  27-10,1.0,3.0,1,2,0,0,0
Shamar Stephen,MIN,vs TB,W  34-17,1.0,9.0,1,1,2,0,0
Jeremiah Valoaga,DET,vs ATL,L  26-30,1.0,6.0,1,1,0,0,0
Olivier Vernon,NYG,@ PHI,L  24-27,1.0,1.0,1,4,1,0,0
Cameron Wake,MIA,@ NYJ,L  6-20,1.0,11.0,2,3,1,0,0
Erik Walden,TEN,vs SEA,W  33-27,1.0,9.0,1,2,0,0,0
Kyle Williams,BUF,vs DEN,W  26-16,1.0,3.0,1,4,0,0,0
Willie Young,CHI,vs PIT,W  23-17,1.0,8.0,3,1,1,0,0
Anthony Zettel,DET,vs ATL,L  26-30,1.0,11.0,1,1,0,0,0
Calais Campbell,JAX,vs BAL,W  44-7,0.5,3.5,2,2,1,1,0
Junior Galette,WAS,vs OAK,W  27-10,0.5,3.0,1,0,1,0,0
Matt Ioannidis,WAS,vs OAK,W  27-10,0.5,4.0,1,1,1,0,0
Malik Jackson,JAX,vs BAL,W  44-7,0.5,3.5,2,1,1,0,0
Christian Kirksey,CLE,@ IND,L  28-31,0.5,4.5,1,3,2,0,1
Joe Schobert,CLE,@ IND,L  28-31,0.5,4.5,2,5,3,0,0
Chris Smith,CIN,@ GB,L  24-27,0.5,6.5,1,2,1,0,0
Jared Abbrederis,DET,vs ATL,L  26-30,0.0,0.0,0,0,0,0,0
Sam Acho,CHI,vs PIT,W  23-17,0.0,0.0,0,0,0,0,0
Kenneth Acker,KC,@ LAC,W  24-10,0.0,0.0,0,0,0,0,0
Mike Adams,CAR,vs NO,L  13-34,0.0,0.0,0,1,2,0,0
Andrew Adams,NYG,@ PHI,L  24-27,0.0,0.0,0,0,0,0,0
Tyrell Adams,OAK,@ WAS,L  10-27,0.0,0.0,0,0,0,0,0
Jahleel Addae,LAC,vs KC,L  10-24,0.0,0.0,0,2,5,0,0
Mackensie Alexander,MIN,vs TB,W  34-17,0.0,0.0,0,1,1,0,0
Maurice Alexander,LA,@ SF,W  41-39,0.0,0.0,1,5,2,0,0
Robert Alford,ATL,@ DET,W  30-26,0.0,0.0,0,6,0,0,0
Nate Allen,MIA,@ NYJ,L  6-20,0.0,0.0,0,2,0,0,0
Ricardo Allen,ATL,@ DET,W  30-26,0.0,0.0,0,2,1,0,0
Chase Allen,MIA,@ NYJ,L  6-20,0.0,0.0,0,7,0,0,0
Kiko Alonso,MIA,@ NYJ,L  6-20,0.0,0.0,0,5,3,0,0
Tyson Alualu,PIT,@ CHI,L  17-23,0.0,0.0,0,2,1,0,0
David Amerson,OAK,@ WAS,L  10-27,0.0,0.0,0,3,3,0,0
Prince Amukamara,CHI,vs PIT,W  23-17,0.0,0.0,0,2,1,0,0
Colt Anderson,BUF,vs DEN,W  26-16,0.0,0.0,0,0,0,0,0
Ryan Anderson,WAS,vs OAK,W  27-10,0.0,0.0,0,2,0,0,0
Henry Anderson,IND,vs CLE,W  31-28,0.0,0.0,0,0,1,0,0
David Andrews,NE,vs HOU,W  36-33,0.0,0.0,0,0,0,0,0
Eli Ankou,JAX,vs BAL,W  44-7,0.0,0.0,0,2,0,0,0
Alex Anzalone,NO,@ CAR,W  34-13,0.0,0.0,0,4,3,0,0
Eli Apple,NYG,@ PHI,L  24-27,0.0,0.0,0,3,2,0,1
Arik Armstead,SF,vs LA,L  39-41,0.0,0.0,0,1,0,0,0
Ray-Ray Armstrong,SF,vs LA,L  39-41,0.0,0.0,0,4,2,0,0
Geno Atkins,CIN,@ GB,L  24-27,0.0,0.0,1,1,0,0,0
Tavon Austin,LA,@ SF,W  41-39,0.0,0.0,0,0,0,0,0
