Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Johnny Hekker,LA,@ ARI,W  32-16,4,207,51.8,48.8,0,0,70,0
Andy Lee,ARI,vs LA,L  16-32,5,254,50.8,34.8,1,1,60,0
Marquette King,OAK,vs NYG,W  24-17,4,200,50.0,42.5,1,2,62,0
Brett Kern,TEN,vs HOU,W  24-13,4,199,49.8,42.5,0,2,59,0
Matt Bosher,ATL,vs MIN,L  9-14,4,197,49.3,46.8,0,2,56,0
Kevin Huber,CIN,vs PIT,L  20-23,5,246,49.2,47.8,0,3,57,0
Dustin Colquitt,KC,@ NYJ,L  31-38,2,98,49.0,49.0,0,0,50,0
Colton Schmidt,BUF,vs NE,L  3-23,4,195,48.8,41.0,1,1,56,0
Riley Dixon,DEN,@ MIA,L  9-35,7,340,48.6,35.5,0,2,58,1
Brad Wing,NYG,@ OAK,L  17-24,7,339,48.4,45.1,0,2,69,0
Rigoberto Sanchez,IND,@ JAX,L  10-30,4,187,46.8,41.8,1,0,56,0
Shane Lechler,HOU,@ TEN,L  13-24,3,139,46.3,32.7,0,1,54,0
Thomas Morstead,NO,vs CAR,W  31-21,4,184,46.0,41.0,0,1,53,0
Sam Martin,DET,@ BAL,L  20-44,6,275,45.8,41.2,0,1,54,0
Justin Vogel,GB,vs TB,W  26-20,4,181,45.3,42.3,0,0,57,0
Ryan Quigley,MIN,@ ATL,W  14-9,5,225,45.0,43.4,0,1,51,0
Jordan Berry,PIT,@ CIN,W  23-20,4,178,44.5,42.3,0,3,58,0
Michael Palardy,CAR,@ NO,L  21-31,5,215,43.0,42.0,0,2,51,0
Matt Haack,MIA,vs DEN,W  35-9,9,386,42.9,41.0,1,7,56,0
Tress Way,WAS,@ DAL,L  14-38,5,213,42.6,25.0,0,3,55,0
Chris Jones,DAL,vs WAS,W  38-14,5,211,42.2,41.4,0,1,45,0
Sam Koch,BAL,vs DET,W  44-20,5,209,41.8,39.0,0,2,52,0
Donnie Jones,PHI,@ SEA,L  10-24,3,123,41.0,40.3,0,3,43,0
Pat O'Donnell,CHI,vs SF,L  14-15,5,199,39.8,35.6,0,3,49,0
Jon Ryan,SEA,vs PHI,W  24-10,5,199,39.8,39.8,0,2,45,0
Britton Colquitt,CLE,@ LAC,L  10-19,3,117,39.0,36.0,0,1,44,0
Brad Nortman,JAX,vs IND,W  30-10,2,76,38.0,38.0,0,2,40,0
Lachlan Edwards,NYJ,vs KC,W  38-31,2,73,36.5,24.5,0,1,40,0
Drew Kaser,LAC,vs CLE,W  19-10,2,73,36.5,30.5,0,1,42,0
Bradley Pinion,SF,@ CHI,W  15-14,2,72,36.0,2.0,0,0,44,0
Bryan Anger,TB,@ GB,L  20-26,5,176,35.2,34.8,0,2,52,0
Ryan Allen,NE,@ BUF,W  23-3,3,105,35.0,35.0,0,1,48,0
