Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Tom Brady,NE,vs NYJ,W  30-23,34,54,355,2,0,3,0,94.3
Philip Rivers,,vs OAK,L  29-37,38,58,336,3,2,1,0,83.7
Andrew Luck,IND,vs NO,L  21-27,23,44,333,3,2,4,0,81.0
Kirk Cousins,WAS,vs TB,W  31-30,33,40,317,3,0,1,1,124.7
Teddy Bridgewater,MIN,@ DET,W  28-19,25,35,316,2,0,4,1,118.3
E.J. Manuel,BUF,@,L  31-34,24,42,298,2,2,4,1,75.3
Jameis Winston,TB,@ WAS,L  30-31,21,29,297,2,0,1,0,128.1
Ryan Fitzpatrick,NYJ,@ NE,L  23-30,22,39,295,2,0,2,1,97.7
Derek Carr,OAK,@,W  37-29,24,31,289,3,0,1,0,137.7
Ryan Tannehill,MIA,vs HOU,W  44-26,18,19,282,4,0,4,0,158.3
Carson Palmer,ARI,vs BAL,W  26-18,20,29,275,2,0,2,0,122.1
Brian Hoyer,HOU,@ MIA,L  26-44,23,49,273,3,1,4,0,76.3
Josh McCown,CLE,@,L  6-24,26,32,270,0,0,4,2,101.8
Matthew Stafford,DET,vs MIN,L  19-28,18,26,256,2,0,7,0,126.4
Drew Brees,NO,@ IND,W  27-21,28,44,255,1,1,2,0,77.4
Joe Flacco,BAL,@ ARI,L  18-26,26,40,252,1,1,3,0,80.4
Matt Ryan,ATL,@ TEN,W  10-7,22,38,251,1,2,0,0,64.7
Alex Smith,KC,vs PIT,W  23-13,21,32,251,1,0,2,0,99.9
Russell Wilson,SEA,@ SF,W  20-3,18,24,235,1,2,5,0,84.5
Matt Cassel,DAL,@ NYG,L  20-27,17,27,227,1,3,1,0,62.3
Landry Jones,PIT,@ KC,L  13-23,16,29,209,1,2,2,1,60.8
Sam Bradford,PHI,@ CAR,L  16-27,26,46,205,0,1,5,0,58.7
Cam Newton,CAR,vs PHI,W  27-16,14,24,197,1,3,1,0,59.2
Zach Mettenberger,TEN,vs ATL,L  7-10,22,35,187,1,2,1,0,62.4
Blake Bortles,,vs BUF,W  34-31,13,29,182,2,1,2,0,74.2
Eli Manning,NYG,vs DAL,W  27-20,13,24,170,0,0,2,0,76.7
Nick Foles,,vs CLE,W  24-6,15,23,163,0,0,2,0,86.0
Colin Kaepernick,SF,vs SEA,L  3-20,13,24,124,0,0,6,0,68.8
Johnny Manziel,CLE,@,L  6-24,4,5,27,0,0,0,0,89.2
Luke McCown,NO,@ IND,W  27-21,1,1,25,0,0,0,0,118.8
Matt Moore,MIA,vs HOU,W  44-26,1,1,14,0,0,0,0,118.8
