Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Mike Evans,TB,@ CIN,L  34-37,6,179,29.8,1,0
Tyler Boyd,CIN,vs TB,W  37-34,9,138,15.3,1,0
Odell Beckham,NYG,vs WAS,L  13-20,8,136,17.0,0,0
DeVante Parker,MIA,@ HOU,L  23-42,6,134,22.3,0,0
Davante Adams,GB,@ LA,L  27-29,5,133,26.6,0,0
Will Fuller,HOU,vs MIA,W  42-23,5,124,24.8,1,0
Stefon Diggs,MIN,vs NO,L  20-30,10,119,11.9,1,0
Marvin Jones,DET,vs SEA,L  14-28,7,117,16.7,2,0
Sammy Watkins,KC,vs DEN,W  30-23,8,107,13.4,2,0
Julian Edelman,NE,@ BUF,W  25-6,9,104,11.6,0,0
Adam Thielen,MIN,vs NO,L  20-30,7,103,14.7,1,1
Larry Fitzgerald,ARI,vs SF,W  18-15,8,102,12.8,1,0
David Moore,SEA,@ DET,W  28-14,4,97,24.2,1,0
Jordan Matthews,PHI,@ JAX,W  24-18,4,93,23.2,0,0
D.J. Moore,CAR,vs BAL,W  36-21,5,90,18.0,0,0
T.J. Yeldon,JAX,vs PHI,L  18-24,7,83,11.9,0,0
DeAndre Hopkins,HOU,vs MIA,W  42-23,6,82,13.7,2,0
LeSean McCoy,BUF,vs NE,L  6-25,6,82,13.7,0,0
Todd Gurley,LA,vs GB,W  29-27,6,81,13.5,1,0
Michael Thomas,NO,@ MIN,W  30-20,5,81,16.2,0,0
Travis Kelce,KC,vs DEN,W  30-23,6,79,13.2,1,0
James White,NE,@ BUF,W  25-6,10,79,7.9,0,0
Courtland Sutton,DEN,@ KC,L  23-30,3,78,26.0,0,0
A.J. Green,CIN,vs TB,W  37-34,5,76,15.2,1,0
Adam Humphries,TB,@ CIN,L  34-37,7,76,10.9,0,0
Antonio Brown,PIT,vs CLE,W  33-18,6,74,12.3,2,0
Jared Cook,OAK,vs IND,L  28-42,4,74,18.5,1,0
Brandin Cooks,LA,vs GB,W  29-27,3,74,24.7,0,0
Saquon Barkley,NYG,vs WAS,L  13-20,9,73,8.1,0,0
Kendrick Bourne,SF,@ ARI,L  15-18,7,71,10.1,0,0
Tarik Cohen,CHI,vs NYJ,W  24-10,1,70,70.0,1,0
Jack Doyle,IND,@ OAK,W  42-28,6,70,11.7,1,0
Tyreek Hill,KC,vs DEN,W  30-23,3,70,23.3,0,0
Robert Woods,LA,vs GB,W  29-27,5,70,14.0,0,0
Kerryon Johnson,DET,vs SEA,L  14-28,6,69,11.5,0,0
O.J. Howard,TB,@ CIN,L  34-37,4,68,17.0,1,0
DeSean Jackson,TB,@ CIN,L  34-37,3,68,22.7,1,0
James Conner,PIT,vs CLE,W  33-18,5,66,13.2,0,0
Deontay Burnett,NYJ,@ CHI,L  10-24,4,61,15.2,0,0
George Kittle,SF,@ ARI,L  15-18,5,57,11.4,0,0
Emmanuel Sanders,DEN,@ KC,L  23-30,4,57,14.2,0,0
Greg Olsen,CAR,vs BAL,W  36-21,4,56,14.0,1,0
Marquise Goodwin,SF,@ ARI,L  15-18,1,55,55.0,1,0
Zay Jones,BUF,vs NE,L  6-25,6,55,9.2,0,0
Ed Dickson,SEA,@ DET,W  28-14,2,54,27.0,1,0
Donte Moncrief,JAX,vs PHI,L  18-24,4,54,13.5,0,0
Willie Snead,BAL,@ CAR,L  21-36,5,54,10.8,0,0
Taylor Gabriel,CHI,vs NYJ,W  24-10,4,52,13.0,0,0
Dontrelle Inman,IND,@ OAK,W  42-28,6,52,8.7,0,0
Jalen Richard,OAK,vs IND,L  28-42,8,50,6.2,0,0
Golden Tate,DET,vs SEA,L  14-28,7,50,7.1,0,0
Nelson Agholor,PHI,@ JAX,W  24-18,3,49,16.3,0,0
Josh Doctson,WAS,@ NYG,W  20-13,5,49,9.8,0,0
Chris Hogan,NE,@ BUF,W  25-6,2,49,24.5,0,0
Bennie Fowler,NYG,vs WAS,L  13-20,4,48,12.0,0,0
Vance McDonald,PIT,vs CLE,W  33-18,3,47,15.7,0,0
Kelvin Benjamin,BUF,vs NE,L  6-25,2,45,22.5,0,0
Andre Holmes,BUF,vs NE,L  6-25,2,45,22.5,0,0
Marquez Valdes-Scantling,GB,@ LA,L  27-29,2,45,22.5,1,0
Danny Amendola,MIA,@ HOU,L  23-42,5,43,8.6,0,0
Rob Gronkowski,NE,@ BUF,W  25-6,3,43,14.3,0,0
Josh Gordon,NE,@ BUF,W  25-6,4,42,10.5,0,0
Christian Kirk,ARI,vs SF,W  18-15,3,42,14.0,1,0
Josh Reynolds,LA,vs GB,W  29-27,3,42,14.0,2,0
Seth Roberts,OAK,vs IND,L  28-42,2,42,21.0,1,0
Wendell Smallwood,PHI,@ JAX,W  24-18,2,42,21.0,1,0
D.J. Chark,JAX,vs PHI,L  18-24,4,41,10.2,0,0
David Johnson,ARI,vs SF,W  18-15,4,41,10.2,0,0
Randall Cobb,GB,@ LA,L  27-29,4,40,10.0,0,0
Brandon LaFell,OAK,vs IND,L  28-42,3,39,13.0,1,0
Jarvis Landry,CLE,@ PIT,L  18-33,8,39,4.9,0,0
Latavius Murray,MIN,vs NO,L  20-30,5,39,7.8,0,0
Kyle Rudolph,MIN,vs NO,L  20-30,4,39,9.8,0,0
Jordan Reed,WAS,@ NYG,W  20-13,7,38,5.4,0,0
Josh Bellamy,CHI,vs NYJ,W  24-10,4,37,9.2,0,0
Kenyan Drake,MIA,@ HOU,L  23-42,2,37,18.5,1,0
Eric Ebron,IND,@ OAK,W  42-28,3,37,12.3,1,0
David Grinnage,JAX,vs PHI,L  18-24,3,37,12.3,0,0
Anthony Miller,CHI,vs NYJ,W  24-10,3,37,12.3,1,0
Antonio Callaway,CLE,@ PIT,L  18-33,5,36,7.2,1,0
Charles Clay,BUF,vs NE,L  6-25,3,36,12.0,0,0
Jakeem Grant,MIA,@ HOU,L  23-42,4,36,9.0,0,0
Kareem Hunt,KC,vs DEN,W  30-23,5,36,7.2,1,0
Alshon Jeffery,PHI,@ JAX,W  24-18,4,35,8.8,0,0
T.Y. Hilton,IND,@ OAK,W  42-28,1,34,34.0,0,0
Tyler Lockett,SEA,@ DET,W  28-14,2,34,17.0,1,0
Paul Richardson,WAS,@ NYG,W  20-13,2,34,17.0,0,0
Sterling Shepard,NYG,vs WAS,L  13-20,4,34,8.5,0,0
JuJu Smith-Schuster,PIT,vs CLE,W  33-18,4,33,8.2,0,0
Jordan Franks,CIN,vs TB,W  37-34,1,32,32.0,0,0
Chris Godwin,TB,@ CIN,L  34-37,2,32,16.0,0,0
Dallas Goedert,PHI,@ JAX,W  24-18,1,32,32.0,1,0
Mark Andrews,BAL,@ CAR,L  21-36,4,31,7.8,0,0
Michael Crabtree,BAL,@ CAR,L  21-36,3,31,10.3,0,0
Alvin Kamara,NO,@ MIN,W  30-20,7,31,4.4,1,0
Equanimeous St. Brown,GB,@ LA,L  27-29,2,31,15.5,0,0
Dede Westbrook,JAX,vs PHI,L  18-24,2,31,15.5,1,0
Jermaine Kearse,NYJ,@ CHI,L  10-24,3,30,10.0,0,0
Demaryius Thomas,DEN,@ KC,L  23-30,3,30,10.0,0,0
Hayden Hurst,BAL,@ CAR,L  21-36,2,29,14.5,1,0
Mark Ingram,NO,@ MIN,W  30-20,3,29,9.7,0,0
Matt LaCosse,DEN,@ KC,L  23-30,4,29,7.2,0,0
Jordan Thomas,HOU,vs MIA,W  42-23,4,29,7.2,2,0
John Brown,BAL,@ CAR,L  21-36,3,28,9.3,0,0
Seth DeValve,CLE,@ PIT,L  18-33,2,28,14.0,1,0
Curtis Samuel,CAR,vs BAL,W  36-21,3,28,9.3,0,0
Devin Funchess,CAR,vs BAL,W  36-21,3,27,9.0,0,0
Mo Alie-Cox,IND,@ OAK,W  42-28,1,26,26.0,1,0
Doug Baldwin,SEA,@ DET,W  28-14,2,26,13.0,0,0
Zach Ertz,PHI,@ JAX,W  24-18,4,26,6.5,1,0
Evan Engram,NYG,vs WAS,L  13-20,5,25,5.0,1,0
Jacquizz Rodgers,TB,@ CIN,L  34-37,4,25,6.2,0,0
Laquon Treadwell,MIN,vs NO,L  20-30,3,25,8.3,0,0
Dontrell Hilliard,CLE,@ PIT,L  18-33,1,24,24.0,0,0
Tim Patrick,DEN,@ KC,L  23-30,1,24,24.0,1,0
LeGarrette Blount,DET,vs SEA,L  14-28,1,23,23.0,0,0
Devontae Booker,DEN,@ KC,L  23-30,4,23,5.8,0,0
Gerald Everett,LA,vs GB,W  29-27,1,22,22.0,0,0
Jermaine Gresham,ARI,vs SF,W  18-15,3,22,7.3,0,1
Vernon Davis,WAS,@ NYG,W  20-13,1,21,21.0,0,0
Jimmy Graham,GB,@ LA,L  27-29,1,21,21.0,0,0
Damion Ratley,CLE,@ PIT,L  18-33,1,21,21.0,0,0
Chad Williams,ARI,vs SF,W  18-15,2,21,10.5,0,0
Luke Willson,DET,vs SEA,L  14-28,3,21,7.0,0,0
Maurice Harris,WAS,@ NYG,W  20-13,2,20,10.0,0,0
Chris Carson,SEA,@ DET,W  28-14,2,19,9.5,0,0
Chris Moore,BAL,@ CAR,L  21-36,2,19,9.5,0,0
Aldrick Robinson,MIN,vs NO,L  20-30,1,19,19.0,0,0
Javorius Allen,BAL,@ CAR,L  21-36,3,18,6.0,1,0
Trey Burton,CHI,vs NYJ,W  24-10,3,18,6.0,0,0
Keelan Cole,JAX,vs PHI,L  18-24,2,18,9.0,0,1
Tre'Quan Smith,NO,@ MIN,W  30-20,3,18,6.0,0,0
Phillip Lindsay,DEN,@ KC,L  23-30,3,17,5.7,0,0
Marlon Mack,IND,@ OAK,W  42-28,2,17,8.5,0,0
Doug Martin,OAK,vs IND,L  28-42,2,17,8.5,0,1
Christopher Herndon,NYJ,@ CHI,L  10-24,1,16,16.0,1,0
Duke Johnson,CLE,@ PIT,L  18-33,2,16,8.0,0,0
Ray-Ray McCloud,BUF,vs NE,L  6-25,1,16,16.0,0,0
Nick Vannett,SEA,@ DET,W  28-14,1,16,16.0,0,0
Justin Hunter,PIT,vs CLE,W  33-18,2,15,7.5,0,0
Joe Mixon,CIN,vs TB,W  37-34,3,15,5.0,0,0
Roc Thomas,MIN,vs NO,L  20-30,1,15,15.0,0,0
Ian Thomas,CAR,vs BAL,W  36-21,1,15,15.0,0,0
Geronimo Allison,GB,@ LA,L  27-29,1,14,14.0,0,0
Alex Collins,BAL,@ CAR,L  21-36,2,14,7.0,0,1
Jason Croom,BUF,vs NE,L  6-25,1,14,14.0,0,0
Mike Gesicki,MIA,@ HOU,L  23-42,4,14,3.5,0,0
Jordy Nelson,OAK,vs IND,L  28-42,1,14,14.0,0,0
Charone Peake,NYJ,@ CHI,L  10-24,1,14,14.0,0,0
Blake Bell,JAX,vs PHI,L  18-24,1,13,13.0,0,0
Cameron Brate,TB,@ CIN,L  34-37,1,13,13.0,0,0
Isaiah Crowell,NYJ,@ CHI,L  10-24,1,13,13.0,0,0
Stevan Ridley,PIT,vs CLE,W  33-18,2,13,6.5,0,1
Trenton Cannon,NYJ,@ CHI,L  10-24,3,12,4.0,0,0
Chase Edmonds,ARI,vs SF,W  18-15,1,12,12.0,0,0
Kenny Golladay,DET,vs SEA,L  14-28,1,12,12.0,0,0
Ricky Seals-Jones,ARI,vs SF,W  18-15,2,12,6.0,0,0
Sam Shields,LA,vs GB,W  29-27,1,12,12.0,0,0
Levine Toilolo,DET,vs SEA,L  14-28,1,12,12.0,0,0
Chris Ivory,BUF,vs NE,L  6-25,1,11,11.0,0,0
Christian McCaffrey,CAR,vs BAL,W  36-21,4,11,2.8,1,0
Nick Chubb,CLE,@ PIT,L  18-33,2,10,5.0,0,0
Anthony Sherman,KC,vs DEN,W  30-23,1,10,10.0,0,0
Mark Walton,CIN,vs TB,W  37-34,1,10,10.0,0,0
Rashad Greene,JAX,vs PHI,L  18-24,1,9,9.0,0,0
Jesse James,PIT,vs CLE,W  33-18,2,9,4.5,0,0
Cam Phillips,BUF,vs NE,L  6-25,1,9,9.0,0,0
Chris Thompson,WAS,@ NYG,W  20-13,2,9,4.5,0,0
Keith Smith,OAK,vs IND,L  28-42,1,8,8.0,0,0
Nick Boyle,BAL,@ CAR,L  21-36,1,7,7.0,0,0
James Develin,NE,@ BUF,W  25-6,1,7,7.0,0,0
Gus Edwards,BAL,@ CAR,L  21-36,1,7,7.0,0,0
Nyheim Hines,IND,@ OAK,W  42-28,2,7,3.5,0,0
Adrian Peterson,WAS,@ NYG,W  20-13,1,7,7.0,1,1
Neal Sterling,NYJ,@ CHI,L  10-24,1,7,7.0,0,0
Trent Taylor,SF,@ ARI,L  15-18,1,7,7.0,0,0
Ameer Abdullah,DET,vs SEA,L  14-28,1,6,6.0,0,1
Josh Adams,PHI,@ JAX,W  24-18,1,6,6.0,0,0
Darren Fells,CLE,@ PIT,L  18-33,1,6,6.0,0,0
Tyler Higbee,LA,vs GB,W  29-27,1,6,6.0,0,0
Kevin White,CHI,vs NYJ,W  24-10,1,6,6.0,0,0
Alex Erickson,CIN,vs TB,W  37-34,1,5,5.0,0,0
Frank Gore,MIA,@ HOU,L  23-42,1,5,5.0,0,0
Taysom Hill,NO,@ MIN,W  30-20,1,5,5.0,0,0
Justin Watson,TB,@ CIN,L  34-37,1,5,5.0,0,0
Jarius Wright,CAR,vs BAL,W  36-21,2,5,2.5,0,0
Tyler Ervin,HOU,vs MIA,W  42-23,1,4,4.0,0,0
Jeff Heuerman,DEN,@ KC,L  23-30,1,4,4.0,1,0
Ronald Jones,TB,@ CIN,L  34-37,1,4,4.0,0,0
Matt Lengel,CIN,vs TB,W  37-34,1,4,4.0,0,0
Carson Wentz,PHI,@ JAX,W  24-18,1,4,4.0,0,1
Mike Davis,SEA,@ DET,W  28-14,1,2,2.0,0,0
Ty Montgomery,GB,@ LA,L  27-29,1,2,2.0,0,1
Demarcus Robinson,KC,vs DEN,W  30-23,1,1,1.0,0,0
Damiere Byrd,CAR,vs BAL,W  36-21,0,0,0.0,0,0
Austin Carr,NO,@ MIN,W  30-20,0,0,0.0,0,0
Patrick DiMarco,BUF,vs NE,L  6-25,1,0,0.0,0,0
Rhett Ellison,NYG,vs WAS,L  13-20,0,0,0.0,0,0
Jordan Howard,CHI,vs NYJ,W  24-10,0,0,0.0,0,0
Carlos Hyde,JAX,vs PHI,L  18-24,0,0,0.0,0,0
Aaron Jones,GB,@ LA,L  27-29,2,0,0.0,0,0
Kyle Juszczyk,SF,@ ARI,L  15-18,0,0,0.0,0,0
Jordan Leggett,NYJ,@ CHI,L  10-24,0,0,0.0,0,0
