Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Jason Myers,NYJ,vs IND,W  42-34,7,7,3,3,24
Stephen Gostkowski,NE,vs KC,W  43-40,5,5,4,4,19
Harrison Butker,KC,@ NE,L  40-43,4,4,4,4,16
Brett Maher,DAL,vs JAX,W  40-7,4,4,4,4,16
Mason Crosby,GB,vs SF,W  33-30,4,4,3,3,15
Robbie Gould,SF,@ GB,L  30-33,3,3,3,3,12
Dustin Hopkins,WAS,vs CAR,W  23-17,3,3,2,2,11
Jason Sanders,MIA,vs CHI,W  31-28,3,3,2,2,11
Cairo Santos,LA,@ DEN,W  23-20,3,4,2,2,11
Matt Bryant,ATL,vs TB,W  34-29,2,2,4,4,10
Jake Elliott,PHI,@ NYG,W  34-13,2,3,4,4,10
Adam Vinatieri,IND,@ NYJ,L  34-42,2,2,4,4,10
Dan Bailey,MIN,vs ARI,W  27-17,2,2,3,3,9
Sebastian Janikowski,SEA,@ OAK,W  27-3,2,2,3,3,9
Michael Badgley,LAC,@ CLE,W  38-14,1,1,5,5,8
Chris Boswell,PIT,@ CIN,W  28-21,2,2,2,2,8
Ka'imi Fairbairn,HOU,vs BUF,W  20-13,2,2,2,2,8
Brandon McManus,DEN,vs LA,L  20-23,2,2,2,2,8
Stephen Hauschka,BUF,@ HOU,L  13-20,2,2,1,1,7
Aldrick Rosas,NYG,vs PHI,L  13-34,2,3,1,1,7
Greg Joseph,CLE,vs LAC,L  14-38,2,2,0,0,6
Chandler Catanzaro,TB,@ ATL,L  29-34,1,1,2,3,5
Phil Dawson,ARI,@ MIN,L  17-27,1,1,2,2,5
Cody Parkey,CHI,@ MIA,L  28-31,0,1,4,4,4
Randy Bullock,CIN,vs PIT,L  21-28,0,0,3,3,3
Graham Gano,CAR,@ WAS,L  17-23,1,1,0,1,3
Matthew McCrane,OAK,vs SEA,L  3-27,1,2,0,0,3
Justin Tucker,BAL,@ TEN,W  21-0,0,0,3,3,3
Josh Lambo,JAX,@ DAL,L  7-40,0,0,1,1,1
