Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Dustin Colquitt,KC,vs PIT,W  23-13,3,164,54.7,54.0,0,0,57,0
Pat McAfee,IND,vs NO,L  21-27,10,517,51.7,45.3,1,1,61,0
Sam Martin,DET,vs MIN,L  19-28,6,296,49.3,45.5,0,1,53,0
Colton Schmidt,BUF,@,L  31-34,3,148,49.3,49.3,0,1,57,0
Matt Darr,MIA,vs HOU,W  44-26,5,246,49.2,41.0,1,2,55,0
Johnny Hekker,,vs CLE,W  24-6,5,244,48.8,48.0,0,3,56,0
Thomas Morstead,NO,@ IND,W  27-21,10,487,48.7,42.9,1,5,58,0
Drew Butler,ARI,vs BAL,W  26-18,3,144,48.0,34.0,0,0,55,1
Shane Lechler,HOU,@ MIA,L  26-44,8,384,48.0,45.6,0,2,55,0
Tress Way,WAS,vs TB,W  31-30,4,189,47.3,42.8,0,1,52,0
Brad Wing,NYG,vs DAL,W  27-20,5,235,47.0,37.6,2,1,53,0
Jon Ryan,SEA,@ SF,W  20-3,4,187,46.8,39.5,1,1,53,0
Donnie Jones,PHI,@ CAR,L  16-27,5,233,46.6,45.6,0,3,54,0
Jordan Berry,PIT,@ KC,L  13-23,2,91,45.5,33.0,0,1,48,0
Andy Lee,CLE,@,L  6-24,5,227,45.4,38.4,1,2,53,0
Sam Koch,BAL,@ ARI,L  18-26,6,272,45.3,42.2,0,2,51,0
Jeff Locke,MIN,@ DET,W  28-19,2,90,45.0,40.5,0,1,50,0
Bryan Anger,,vs BUF,W  34-31,6,269,44.8,38.7,0,0,56,0
Ryan Allen,NE,vs NYJ,W  30-23,3,134,44.7,42.7,0,3,47,0
Jacob Schum,TB,@ WAS,L  30-31,2,89,44.5,42.5,0,0,49,0
Brett Kern,TEN,vs ATL,L  7-10,7,305,43.6,41.9,0,5,54,0
Matt Bosher,ATL,@ TEN,W  10-7,4,174,43.5,43.5,0,2,53,0
Bradley Pinion,SF,vs SEA,L  3-20,9,390,43.3,42.1,0,2,54,0
Mike Scifres,,vs OAK,L  29-37,5,211,42.2,32.2,0,0,46,0
Steve Weatherford,NYJ,@ NE,L  23-30,4,161,40.3,30.8,0,0,50,0
Brad Nortman,CAR,vs PHI,W  27-16,4,157,39.3,38.8,0,3,45,0
Marquette King,OAK,@,W  37-29,4,152,38.0,28.0,2,2,44,0
Chris Jones,DAL,@ NYG,L  20-27,2,66,33.0,33.0,0,0,34,0
