Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Jon Ryan,SEA,@ NE,W  31-24,2,105,52.5,48.5,0,2,54,0
Johnny Hekker,LA,@ NYJ,W  9-6,7,362,51.7,50.3,0,4,78,0
Matt Darr,MIA,@,W  31-24,5,258,51.6,42.6,0,1,59,0
Jacob Schum,GB,@ TEN,L  25-47,4,202,50.5,39.8,1,1,57,0
Drew Kaser,,vs MIA,L  24-31,4,199,49.8,49.0,0,3,55,0
Dustin Colquitt,KC,@ CAR,W  20-17,5,245,49.0,43.2,1,2,64,0
Chris Jones,DAL,@ PIT,W  35-30,3,145,48.3,41.0,0,1,49,0
Kevin Huber,CIN,@ NYG,L  20-21,7,336,48.0,42.3,0,2,53,0
Matt Bosher,ATL,@ PHI,L  15-24,2,95,47.5,47.5,0,1,50,0
Ryan Allen,NE,vs SEA,L  24-31,2,92,46.0,44.0,0,0,56,0
Sam Koch,BAL,vs CLE,W  28-7,4,184,46.0,41.5,1,3,50,0
Shane Lechler,HOU,@ JAX,W  24-21,3,138,46.0,42.0,0,1,51,0
Tress Way,WAS,vs MIN,W  26-20,2,92,46.0,43.5,0,0,51,0
Brad Wing,NYG,vs CIN,W  21-20,6,276,46.0,40.2,0,2,55,0
Graham Gano,CAR,vs KC,L  17-20,4,180,45.0,29.8,2,0,54,0
Ryan Quigley,ARI,vs SF,W  23-20,4,177,44.3,37.3,0,0,50,0
Pat O'Donnell,CHI,@ TB,L  10-36,5,218,43.6,42.6,0,2,53,0
Bradley Pinion,SF,@ ARI,L  20-23,7,305,43.6,41.7,0,3,52,0
Jordan Berry,PIT,vs DAL,L  30-35,4,174,43.5,32.5,0,2,57,0
Jeff Locke,MIN,@ WAS,L  20-26,5,217,43.4,42.2,0,2,49,0
Donnie Jones,PHI,vs ATL,W  24-15,2,86,43.0,38.5,0,0,43,0
Andy Lee,CAR,vs KC,L  17-20,1,43,43.0,37.0,0,0,43,0
Britton Colquitt,CLE,@ BAL,L  7-28,7,300,42.9,39.0,0,1,54,0
Bryan Anger,TB,vs CHI,W  36-10,5,214,42.8,43.4,0,2,54,0
Lachlan Edwards,NYJ,vs LA,L  6-9,8,342,42.8,38.0,0,2,59,0
Brett Kern,TEN,vs GB,W  47-25,4,166,41.5,38.0,0,0,46,0
Riley Dixon,DEN,@ NO,W  25-23,3,124,41.3,40.0,0,2,45,0
Thomas Morstead,NO,vs DEN,L  23-25,4,163,40.8,36.5,0,2,50,0
Brad Nortman,JAX,vs HOU,L  21-24,3,115,38.3,12.7,1,0,48,0
Matt Bryant,ATL,@ PHI,L  15-24,2,67,33.5,33.5,0,0,36,0
