Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Blair Walsh,MIN,@ DET,W  28-19,5,5,1,2,16
Sebastian Janikowski,OAK,@,W  37-29,3,3,4,4,13
Connor Barth,TB,@ WAS,L  30-31,3,3,3,3,12
Stephen Gostkowski,NE,vs NYJ,W  30-23,3,3,3,3,12
Dan Carpenter,BUF,@,L  31-34,3,3,2,2,11
Nick Folk,NYJ,@ NE,L  23-30,3,3,2,2,11
Cairo Santos,KC,vs PIT,W  23-13,3,4,2,2,11
Caleb Sturgis,PHI,@ CAR,L  16-27,3,4,1,1,10
Josh Brown,NYG,vs DAL,W  27-20,2,2,3,3,9
Graham Gano,CAR,vs PHI,W  27-16,2,2,3,3,9
Dan Bailey,DAL,@ NYG,L  20-27,2,2,2,2,8
Chandler Catanzaro,ARI,vs BAL,W  26-18,2,3,2,3,8
Andrew Franks,MIA,vs HOU,W  44-26,1,1,5,6,8
Stephen Hauschka,SEA,@ SF,W  20-3,2,2,2,2,8
Chris Boswell,PIT,@ KC,L  13-23,2,2,1,1,7
Dustin Hopkins,WAS,vs TB,W  31-30,1,1,4,4,7
Josh Lambo,,vs OAK,L  29-37,2,2,1,1,7
Travis Coons,CLE,@,L  6-24,2,2,0,0,6
Greg Zuerlein,,vs CLE,W  24-6,1,3,3,3,6
Matt Prater,DET,vs MIN,L  19-28,1,1,2,2,5
Matt Bryant,ATL,@ TEN,W  10-7,1,2,1,1,4
Jason Myers,,vs BUF,W  34-31,0,0,4,5,4
Justin Tucker,BAL,@ ARI,L  18-26,1,1,1,1,4
Phil Dawson,SF,vs SEA,L  3-20,1,1,0,0,3
Kai Forbath,NO,@ IND,W  27-21,0,0,3,4,3
Adam Vinatieri,IND,vs NO,L  21-27,0,0,3,3,3
Nick Novak,HOU,@ MIA,L  26-44,0,0,2,3,2
Ryan Succop,TEN,vs ATL,L  7-10,0,0,1,1,1
