Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Pat McAfee,IND,vs CHI,W  29-23,3,190,63.3,56.7,1,2,74,0
Matt Bosher,ATL,@ DEN,W  23-16,3,185,61.7,56.0,0,1,68,0
Johnny Hekker,LA,vs BUF,L  19-30,2,109,54.5,55.5,0,1,57,0
Sam Martin,DET,vs PHI,W  24-23,3,159,53.0,44.3,1,1,57,0
Shane Lechler,HOU,@ MIN,L  13-31,5,257,51.4,31.4,0,2,57,0
Bradley Pinion,SF,vs ARI,L  21-33,7,349,49.9,46.3,0,1,57,0
Matt Darr,MIA,vs TEN,L  17-30,6,298,49.7,46.3,0,2,57,0
Riley Dixon,DEN,vs ATL,L  16-23,6,290,48.3,43.8,1,2,62,0
Sam Koch,BAL,vs WAS,L  10-16,8,381,47.6,34.0,1,2,68,0
Jordan Berry,PIT,vs NYJ,W  31-13,3,139,46.3,46.3,0,3,52,0
Marquette King,OAK,vs,W  34-31,3,139,46.3,41.3,0,0,51,0
Jeff Locke,MIN,vs HOU,W  31-13,5,231,46.2,36.8,0,1,55,0
Pat O'Donnell,CHI,@ IND,L  23-29,2,92,46.0,36.0,0,0,46,0
Colton Schmidt,BUF,@ LA,W  30-19,6,276,46.0,45.7,0,4,58,0
Bryan Anger,TB,@ CAR,W  17-14,5,225,45.0,43.8,0,2,51,0
Britton Colquitt,CLE,vs NE,L  13-33,6,267,44.5,42.5,0,0,50,0
Andy Lee,CAR,vs TB,L  14-17,4,177,44.3,36.3,1,1,52,0
Chris Jones,DAL,vs CIN,W  28-14,2,87,43.5,43.5,0,1,51,0
Lachlan Edwards,NYJ,@ PIT,L  13-31,6,260,43.3,28.2,2,0,52,0
Ryan Quigley,ARI,@ SF,W  33-21,9,382,42.4,42.4,0,6,55,0
Tress Way,WAS,@ BAL,W  16-10,6,253,42.2,35.5,2,2,61,0
Ryan Allen,NE,@ CLE,W  33-13,5,209,41.8,36.8,0,1,52,0
Kevin Huber,CIN,@ DAL,L  14-28,5,196,39.2,33.2,1,2,44,0
Brad Wing,NYG,@ GB,L  16-23,6,235,39.2,38.7,0,3,47,0
Donnie Jones,PHI,@ DET,L  23-24,2,76,38.0,38.0,0,0,42,0
Jacob Schum,GB,vs NYG,W  23-16,4,146,36.5,35.0,0,0,42,0
Brett Kern,TEN,@ MIA,W  30-17,5,175,35.0,17.8,0,3,51,0
Drew Kaser,,@ OAK,L  31-34,1,16,16.0,16.0,0,0,16,0
