Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Drew Brees,NO,vs TEN,L  28-34,28,39,387,3,1,4,0,118.2
Blake Bortles,,@ NYJ,L  23-28,24,40,381,2,2,6,1,87.6
Marcus Mariota,TEN,@ NO,W  34-28,28,39,371,4,0,0,0,135.7
Aaron Rodgers,GB,@ CAR,L  29-37,25,48,369,4,1,5,0,96.6
Jay Cutler,CHI,@,W  22-19,27,40,345,2,1,1,1,100.5
Ben Roethlisberger,PIT,vs OAK,W  38-35,24,44,334,2,1,1,0,84.8
Ryan Tannehill,MIA,@ BUF,L  17-33,26,35,307,0,0,2,1,100.5
Matt Ryan,ATL,@ SF,L  16-17,30,45,303,1,0,2,0,93.1
Derek Carr,OAK,@ PIT,L  35-38,24,44,301,4,1,0,0,96.9
Tom Brady,NE,vs WAS,W  27-10,26,39,299,2,1,0,0,96.0
Matt Cassel,DAL,vs PHI,L  27-33,25,38,299,3,1,4,0,105.0
Cam Newton,CAR,vs GB,W  37-29,15,30,297,3,1,0,0,104.4
Sam Bradford,PHI,@ DAL,W  33-27,25,36,295,1,0,1,0,103.4
Peyton Manning,DEN,@ IND,L  24-27,21,36,281,2,2,1,0,78.6
Philip Rivers,,vs CHI,L  19-22,26,42,280,1,0,2,0,89.4
Ryan Fitzpatrick,NYJ,vs,W  28-23,21,34,272,2,0,2,0,106.5
Andrew Luck,IND,vs DEN,W  27-24,21,36,252,2,0,1,0,98.4
Jameis Winston,TB,vs NYG,L  18-32,19,36,247,0,0,0,0,74.7
Andy Dalton,CIN,vs CLE,W  31-10,21,27,234,3,0,2,0,139.8
Kirk Cousins,WAS,@ NE,L  10-27,22,40,217,1,1,1,0,68.4
Eli Manning,NYG,@ TB,W  32-18,26,40,213,2,2,0,0,74.3
Blaine Gabbert,SF,vs ATL,W  17-16,15,25,185,2,2,0,0,76.2
Tyrod Taylor,BUF,vs MIA,W  33-17,11,12,181,1,0,3,0,146.5
Nick Foles,,@ MIN,L  18-21,18,33,168,0,0,1,0,68.8
Johnny Manziel,CLE,@ CIN,L  10-31,15,33,168,1,0,3,0,71.3
Teddy Bridgewater,MIN,vs,W  21-18,13,21,144,0,1,0,0,62.4
Landry Jones,PIT,vs OAK,W  38-35,4,6,79,0,0,0,0,109.7
Shaun Hill,MIN,vs,W  21-18,2,6,15,0,0,1,0,42.4
Jarvis Landry,MIA,@ BUF,L  17-33,1,1,9,0,0,0,0,104.2
Colin Kaepernick,SF,vs ATL,W  17-16,0,1,0,0,0,0,0,39.6
