Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Donnie Jones,PHI,vs WAS,L  22-27,2,106,53.0,46.5,0,1,54,0
Shane Lechler,HOU,@ IND,W  22-17,3,156,52.0,50.7,0,3,57,0
Matt Bosher,ATL,@ LA,W  42-14,8,415,51.9,42.6,0,2,66,0
Thomas Morstead,NO,@ TB,L  11-16,4,205,51.3,47.5,0,1,53,0
Sam Martin,DET,vs CHI,W  20-17,2,102,51.0,41.0,1,1,57,0
Jordan Berry,PIT,@ BUF,W  27-20,2,101,50.5,40.5,1,1,56,0
Kevin Huber,CIN,@ CLE,W  23-10,5,248,49.6,41.6,2,2,72,0
Ryan Allen,NE,vs BAL,W  30-23,6,294,49.0,43.7,1,2,56,0
Johnny Hekker,LA,vs ATL,L  14-42,7,340,48.6,48.6,0,6,57,0
Sam Koch,BAL,@ NE,L  23-30,6,289,48.2,47.0,0,3,65,0
Drew Butler,ARI,@ MIA,L  23-26,5,236,47.2,36.8,0,1,62,0
Pat O'Donnell,CHI,@ DET,L  17-20,4,188,47.0,40.3,1,2,52,0
Tress Way,WAS,@ PHI,W  27-22,3,141,47.0,45.3,0,0,49,0
Bryan Anger,TB,vs NO,W  16-11,4,185,46.3,39.8,1,2,57,0
Britton Colquitt,CLE,vs CIN,L  10-23,6,276,46.0,38.2,0,0,54,0
Colton Schmidt,BUF,vs PIT,L  20-27,6,270,45.0,37.0,1,1,55,0
Brett Kern,TEN,vs DEN,W  13-10,7,308,44.0,38.1,1,3,61,0
Marquette King,OAK,@ KC,L  13-21,8,348,43.5,31.1,0,0,54,0
Matt Darr,MIA,vs ARI,W  26-23,8,346,43.3,39.3,1,3,51,0
Brad Wing,NYG,vs DAL,W  10-7,9,389,43.2,42.9,0,5,57,0
Michael Palardy,CAR,vs,W  28-16,5,215,43.0,42.6,0,2,49,0
Chris Jones,DAL,@ NYG,L  7-10,9,384,42.7,39.8,0,2,52,0
Jeff Locke,MIN,@ JAX,W  25-16,1,42,42.0,38.0,0,0,42,0
Riley Dixon,DEN,@ TEN,L  10-13,5,207,41.4,38.0,0,2,53,0
Brad Nortman,JAX,vs MIN,L  16-25,4,163,40.8,38.5,0,1,54,0
Drew Kaser,,@ CAR,L  16-28,3,122,40.7,34.7,0,0,47,0
Pat McAfee,IND,vs HOU,L  17-22,2,81,40.5,30.5,1,0,49,0
Bradley Pinion,SF,vs NYJ,L  17-23,6,239,39.8,39.8,0,1,46,0
Lachlan Edwards,NYJ,@ SF,W  23-17,6,237,39.5,37.8,0,4,54,0
Jacob Schum,GB,vs SEA,W  38-10,4,154,38.5,38.5,0,3,49,0
Jon Ryan,SEA,@ GB,L  10-38,4,136,34.0,34.0,0,2,42,0
Dustin Colquitt,KC,vs OAK,W  21-13,5,168,33.6,33.2,0,5,39,0
