Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Bryan Anger,TB,@,W  28-21,2,108,54.0,48.0,0,1,54,0
Johnny Hekker,LA,@ NE,L  10-26,8,430,53.8,52.9,0,5,76,0
Dustin Colquitt,KC,@ ATL,W  29-28,3,150,50.0,37.0,2,0,61,0
Kevin Huber,CIN,vs PHI,W  32-14,1,49,49.0,42.0,0,0,49,0
Pat McAfee,IND,@ NYJ,W  41-10,2,95,47.5,47.5,0,2,51,0
Chris Jones,DAL,@ MIN,W  17-15,6,277,46.2,47.0,0,3,55,0
Brad Nortman,JAX,vs DEN,L  10-20,8,369,46.1,41.1,0,4,65,0
Matt Bosher,ATL,vs KC,L  28-29,1,46,46.0,47.0,0,1,46,0
Riley Dixon,DEN,@ JAX,W  20-10,11,506,46.0,40.8,2,3,58,0
Lachlan Edwards,NYJ,vs IND,L  10-41,5,230,46.0,34.8,1,0,56,0
Tress Way,WAS,@ ARI,L  23-31,2,89,44.5,38.0,0,1,59,0
Brad Wing,NYG,@ PIT,L  14-24,4,177,44.3,39.3,1,0,57,0
Marquette King,OAK,vs BUF,W  38-24,5,221,44.2,40.2,1,2,60,0
Jacob Schum,GB,vs HOU,W  21-13,5,215,43.0,35.8,1,3,48,0
Sam Martin,DET,@ NO,W  28-13,2,85,42.5,30.5,0,1,53,0
Drew Kaser,,vs TB,L  21-28,3,127,42.3,35.3,0,0,49,0
Michael Palardy,CAR,@ SEA,L  7-40,6,254,42.3,37.0,1,3,52,0
Ryan Allen,NE,vs LA,W  26-10,6,247,41.2,39.8,0,2,46,0
Shane Lechler,HOU,@ GB,L  13-21,5,205,41.0,32.2,0,2,52,0
Jon Ryan,SEA,vs CAR,W  40-7,1,41,41.0,41.0,0,0,41,0
Thomas Morstead,NO,vs DET,L  13-28,4,162,40.5,40.5,0,2,50,0
Colton Schmidt,BUF,@ OAK,L  24-38,5,199,39.8,36.4,0,1,48,0
Drew Butler,ARI,vs WAS,W  31-23,3,119,39.7,34.0,0,0,50,0
Donnie Jones,PHI,@ CIN,L  14-32,3,118,39.3,36.3,0,2,48,0
Pat O'Donnell,CHI,vs SF,W  26-6,6,233,38.8,28.0,2,2,52,0
Bradley Pinion,SF,@ CHI,L  6-26,8,308,38.5,38.1,0,2,44,0
Jordan Berry,PIT,vs NYG,W  24-14,4,148,37.0,36.8,0,2,44,0
Matt Darr,MIA,@ BAL,L  6-38,6,222,37.0,36.5,0,3,48,0
Jeff Locke,MIN,vs DAL,L  15-17,7,224,32.0,31.9,0,3,43,0
Sam Koch,BAL,vs MIA,W  38-6,3,93,31.0,31.0,0,2,43,0
