Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Albert Wilson,KC,@ DEN,W  27-24,10,147,14.7,0,0
JuJu Smith-Schuster,PIT,vs CLE,W  28-24,9,143,15.9,1,0
Keenan Allen,LAC,vs OAK,W  30-10,9,133,14.8,1,0
Amari Cooper,OAK,@ LAC,L  10-30,3,115,38.3,1,0
Josh Gordon,CLE,@ PIT,L  24-28,4,115,28.8,0,0
Chris Godwin,TB,vs NO,W  31-24,7,111,15.9,1,0
Golden Tate,DET,vs GB,W  35-11,7,104,14.9,1,0
Adam Humphries,TB,vs NO,W  31-24,7,102,14.6,0,0
George Kittle,SF,@ LA,W  34-13,4,100,25.0,0,0
Travis Benjamin,LAC,vs OAK,W  30-10,4,96,24.0,1,0
Dontrelle Inman,CHI,@ MIN,L  10-23,5,94,18.8,0,0
Michael Thomas,NO,@ TB,L  24-31,6,94,15.7,0,0
Jarvis Landry,MIA,vs BUF,L  16-22,9,92,10.2,1,0
Tyler Boyd,CIN,@ BAL,W  31-27,5,91,18.2,1,0
Doug Baldwin,SEA,vs ARI,L  24-26,4,90,22.5,2,0
Devonta Freeman,ATL,vs CAR,W  22-10,9,85,9.4,1,0
Alvin Kamara,NO,@ TB,L  24-31,6,84,14.0,0,0
Marvin Jones,DET,vs GB,W  35-11,4,81,20.2,1,0
Kenny Golladay,DET,vs GB,W  35-11,2,80,40.0,1,0
Julio Jones,ATL,vs CAR,W  22-10,5,80,16.0,0,0
Brandin Cooks,NE,vs NYJ,W  26-6,5,79,15.8,1,0
Duke Johnson,CLE,@ PIT,L  24-28,6,75,12.5,0,1
Mike Thomas,LA,vs SF,L  13-34,3,75,25.0,0,0
Neal Sterling,NYJ,@ NE,L  6-26,5,74,14.8,0,0
Demetrius Harris,KC,@ DEN,W  27-24,3,73,24.3,0,0
Mohamed Sanu,ATL,vs CAR,W  22-10,7,71,10.1,0,0
Rashard Higgins,CLE,@ PIT,L  24-28,3,68,22.7,2,0
Leonard Fournette,JAX,@ TEN,L  10-15,4,67,16.8,0,0
Tyrell Williams,LAC,vs OAK,W  30-10,3,67,22.3,1,0
Derrick Henry,TEN,vs JAX,W  15-10,1,66,66.0,1,0
Martavis Bryant,PIT,vs CLE,W  28-24,6,65,10.8,0,0
Stefon Diggs,MIN,vs CHI,W  23-10,6,65,10.8,1,0
Jordan Taylor,DEN,vs KC,L  24-27,6,65,10.8,0,0
Charles Clay,BUF,@ MIA,W  22-16,6,64,10.7,0,0
DeVante Parker,MIA,vs BUF,L  16-22,6,64,10.7,0,0
Rhett Ellison,NYG,vs WAS,W  18-10,5,63,12.6,0,0
Adam Thielen,MIN,vs CHI,W  23-10,6,61,10.2,0,0
Benjamin Watson,BAL,vs CIN,L  27-31,7,61,8.7,0,0
Jermaine Kearse,NYJ,@ NE,L  6-26,5,59,11.8,0,0
Demaryius Thomas,DEN,vs KC,L  24-27,6,57,9.5,1,0
Trevor Davis,GB,@ DET,L  11-35,3,56,18.7,0,0
Bennie Fowler,DEN,vs KC,L  24-27,4,56,14.0,0,0
Mike Evans,TB,vs NO,W  31-24,5,55,11.0,0,0
Larry Fitzgerald,ARI,@ SEA,W  26-24,8,55,6.9,0,0
Chris Thompson,HOU,@ IND,L  13-22,3,54,18.0,0,0
Kapri Bibbs,WAS,@ NYG,L  10-18,8,53,6.6,0,0
Tyler Kroft,CIN,@ BAL,W  31-27,6,53,8.8,2,0
Brice Butler,DAL,@ PHI,W  6-0,2,50,25.0,1,0
Devin Funchess,CAR,@ ATL,L  10-22,2,48,24.0,1,0
Seth Roberts,OAK,@ LAC,L  10-30,5,48,9.6,0,0
Antonio Gates,LAC,vs OAK,W  30-10,4,46,11.5,0,0
ArDarius Stewart,NYJ,@ NE,L  6-26,1,46,46.0,0,0
Randall Cobb,GB,@ DET,L  11-35,4,45,11.2,1,0
Jimmy Graham,SEA,vs ARI,L  24-26,3,45,15.0,0,0
Danny Amendola,NE,vs NYJ,W  26-6,4,43,10.8,0,0
Dion Lewis,NE,vs NYJ,W  26-6,6,40,6.7,1,0
Christian McCaffrey,CAR,@ ATL,L  10-22,5,40,8.0,0,0
Mike Wallace,BAL,vs CIN,L  27-31,5,40,8.0,1,0
