Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Michael Badgley,LAC,vs CIN,W  26-21,4,4,2,2,14
Stephen Hauschka,BUF,vs NYJ,L  23-27,3,5,2,2,11
Brett Maher,DAL,vs PHI,W  29-23,3,4,2,2,11
Mason Crosby,GB,vs ATL,W  34-20,2,2,4,4,10
Aldrick Rosas,NYG,@ WAS,W  40-16,2,2,4,5,10
Randy Bullock,CIN,@ LAC,L  21-26,3,3,0,0,9
Harrison Butker,KC,vs BAL,W  27-24,2,4,3,3,9
Stephen Gostkowski,NE,@ MIA,L  33-34,2,3,3,4,9
Jason Myers,NYJ,@ BUF,W  27-23,2,2,3,3,9
Chandler Catanzaro,CAR,@ CLE,L  20-26,2,2,2,2,8
Robbie Gould,SF,vs DEN,W  20-14,2,2,2,2,8
Greg Joseph,CLE,vs CAR,W  26-20,2,2,2,3,8
Wil Lutz,NO,@ TB,W  28-14,2,2,2,2,8
Sebastian Janikowski,SEA,vs MIN,W  21-7,2,2,1,1,7
Cody Parkey,CHI,vs LA,W  15-6,2,3,1,1,7
Daniel Carlson,OAK,vs PIT,W  24-21,1,1,3,3,6
Ryan Succop,TEN,vs JAX,W  30-9,1,1,3,4,6
Justin Tucker,BAL,@ KC,L  24-27,1,1,3,3,6
Adam Vinatieri,IND,@ HOU,W  24-21,1,1,3,3,6
Greg Zuerlein,LA,@ CHI,L  6-15,2,3,0,0,6
Jake Elliott,PHI,@ DAL,L  23-29,1,1,2,3,5
Matt Prater,DET,@ ARI,W  17-3,1,1,2,2,5
Jason Sanders,MIA,vs NE,W  34-33,0,0,4,4,4
Chris Boswell,PIT,@ OAK,L  21-24,0,2,3,3,3
Ka'imi Fairbairn,HOU,vs IND,L  21-24,0,0,3,3,3
Zane Gonzalez,ARI,vs DET,L  3-17,1,2,0,0,3
Matt Bryant,ATL,@ GB,L  20-34,0,1,2,3,2
Brandon McManus,DEN,@ SF,L  14-20,0,0,2,2,2
Cairo Santos,TB,vs NO,L  14-28,0,2,2,2,2
Dan Bailey,MIN,@ SEA,L  7-21,0,1,1,1,1
Josh Lambo,JAX,@ TEN,L  9-30,0,0,1,1,1
