Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Sam Koch,BAL,vs,W  29-26,2,122,61.0,62.0,0,1,62,0
Matt Darr,MIA,@ NE,L  7-36,6,349,58.2,45.2,2,1,70,0
Johnny Hekker,,vs SF,W  27-6,8,436,54.5,49.8,0,4,60,0
Brad Wing,NYG,@ NO,L  49-52,4,212,53.0,40.5,1,1,62,0
Shane Lechler,HOU,vs TEN,W  20-6,8,407,50.9,40.5,1,2,60,0
Drew Butler,ARI,@ CLE,W  34-20,2,100,50.0,40.5,0,0,50,0
Brett Kern,TEN,@ HOU,L  6-20,7,349,49.9,45.9,0,3,60,0
Andy Lee,CLE,vs ARI,L  20-34,6,299,49.8,41.5,0,2,56,0
Pat McAfee,IND,@ CAR,L  26-29,6,292,48.7,39.0,2,2,53,0
Jon Ryan,SEA,@ DAL,W  13-12,4,193,48.3,46.3,0,0,55,0
Phil Dawson,SF,@,L  6-27,1,48,48.0,47.0,0,0,48,0
Thomas Morstead,NO,vs NYG,W  52-49,2,95,47.5,41.0,0,0,48,0
Chris Jones,DAL,vs SEA,L  12-13,4,188,47.0,44.0,0,1,53,0
Sam Martin,DET,@ KC,L  10-45,6,282,47.0,40.2,0,0,53,0
Tim Masthay,GB,@ DEN,L  10-29,5,231,46.2,43.8,0,1,49,0
Bradley Pinion,SF,@,L  6-27,9,412,45.8,43.8,1,3,60,0
Ryan Quigley,NYJ,@ OAK,L  20-34,4,182,45.5,44.0,0,1,52,0
Marquette King,OAK,vs NYJ,W  34-20,3,135,45.0,41.7,0,1,52,0
Mike Scifres,,@ BAL,L  26-29,4,177,44.3,40.0,0,1,54,0
Pat O'Donnell,CHI,vs MIN,L  20-23,5,221,44.2,28.8,0,1,53,0
Ryan Allen,NE,vs MIA,W  36-7,6,264,44.0,42.5,0,4,57,0
Jacob Schum,TB,@ ATL,W  23-20,3,127,42.3,34.7,0,2,53,0
Brad Nortman,CAR,vs IND,W  29-26,7,293,41.9,39.6,0,1,61,0
Dustin Colquitt,KC,vs DET,W  45-10,4,164,41.0,40.5,0,3,46,0
Britton Colquitt,DEN,vs GB,W  29-10,3,120,40.0,37.0,0,2,46,0
Jordan Berry,PIT,vs CIN,L  10-16,6,213,35.5,29.2,0,3,46,0
Kevin Huber,CIN,@ PIT,W  16-10,4,136,34.0,34.0,0,3,42,0
Jeff Locke,MIN,@ CHI,W  23-20,4,134,33.5,32.8,0,3,37,0
