Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Drew Kaser,,vs OAK,L  16-19,5,274,54.8,48.6,1,1,69,0
Johnny Hekker,LA,@ SEA,L  3-24,4,216,54.0,50.0,0,0,66,0
Brad Nortman,JAX,@ HOU,L  20-21,6,315,52.5,46.2,0,1,67,0
Marquette King,OAK,@,W  19-16,3,153,51.0,43.3,1,1,64,0
Sam Koch,BAL,vs PHI,W  27-26,4,197,49.3,38.8,1,1,60,0
Jeff Locke,MIN,vs IND,L  6-34,3,146,48.7,38.7,0,2,52,0
Tress Way,WAS,vs CAR,L  15-26,6,286,47.7,37.8,0,0,56,0
Kevin Huber,CIN,vs PIT,L  20-24,3,141,47.0,45.3,0,1,54,0
Donnie Jones,PHI,@ BAL,L  26-27,2,94,47.0,47.0,0,1,51,0
Riley Dixon,DEN,vs NE,L  3-16,7,325,46.4,43.4,0,3,58,0
Sam Martin,DET,@ NYG,L  6-17,6,275,45.8,37.8,1,1,63,0
Dustin Colquitt,KC,vs TEN,L  17-19,6,273,45.5,38.5,1,2,57,0
Bradley Pinion,SF,@ ATL,L  13-41,7,318,45.4,39.4,0,2,57,0
Shane Lechler,HOU,vs JAX,W  21-20,5,226,45.2,43.4,0,4,59,0
Colton Schmidt,BUF,vs CLE,W  33-13,2,90,45.0,33.5,0,0,48,0
Ryan Allen,NE,@ DEN,W  16-3,7,312,44.6,41.0,1,3,51,0
Britton Colquitt,CLE,@ BUF,L  13-33,5,222,44.4,35.2,0,1,53,0
Pat O'Donnell,CHI,vs GB,L  27-30,2,88,44.0,43.0,0,1,48,0
Bryan Anger,TB,@ DAL,L  20-26,4,171,42.8,42.8,0,1,53,0
Matt Darr,MIA,@ NYJ,W  34-13,6,257,42.8,37.5,0,1,46,0
Brad Wing,NYG,vs DET,W  17-6,7,298,42.6,41.0,0,2,57,0
Pat McAfee,IND,@ MIN,W  34-6,3,127,42.3,42.3,0,2,44,0
Jacob Schum,GB,@ CHI,W  30-27,4,168,42.0,37.8,0,0,52,0
Chris Jones,DAL,vs TB,W  26-20,2,82,41.0,41.0,0,2,42,0
Jordan Berry,PIT,@ CIN,W  24-20,1,40,40.0,40.0,0,1,40,0
Lachlan Edwards,NYJ,vs MIA,L  13-34,3,119,39.7,25.5,0,1,52,1
Jon Ryan,SEA,vs LA,W  24-3,3,108,36.0,36.0,0,2,40,0
Brett Kern,TEN,@ KC,W  19-17,4,142,35.5,34.8,0,0,38,0
Michael Palardy,CAR,@ WAS,W  26-15,6,208,34.7,32.3,0,3,46,0
Matt Wile,ARI,vs NO,L  41-48,2,68,34.0,34.0,0,1,36,0
Matt Bosher,ATL,vs SF,W  41-13,2,67,33.5,33.5,0,2,41,0
Thomas Morstead,NO,@ ARI,W  48-41,1,30,30.0,30.0,0,0,30,0
