Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Michael Dickson,SEA,@ LA,L  31-36,3,165,55.0,47.7,0,1,68,0
Johnny Townsend,OAK,vs LAC,L  6-20,3,162,54.0,49.0,0,1,57,0
Ryan Allen,NE,@ TEN,L  10-34,6,298,49.7,39.3,1,2,66,0
Andy Lee,ARI,@ KC,L  14-26,5,247,49.4,45.4,1,1,55,0
Tress Way,WAS,@ TB,W  16-3,5,247,49.4,47.8,0,4,58,0
Brett Kern,TEN,vs NE,W  34-10,5,241,48.2,42.2,0,2,55,0
Pat O'Donnell,CHI,vs DET,W  34-22,3,144,48.0,37.7,1,1,59,0
Riley Dixon,NYG,@ SF,W  27-23,5,238,47.6,42.8,0,3,59,0
Britton Colquitt,CLE,vs ATL,W  28-16,4,187,46.8,45.5,0,3,57,0
Dustin Colquitt,KC,vs ARI,W  26-14,5,233,46.6,41.0,1,3,52,0
Logan Cooke,JAX,@ IND,L  26-29,3,138,46.0,44.0,0,2,51,0
Rigoberto Sanchez,IND,vs JAX,W  29-26,3,138,46.0,45.7,0,1,52,0
Lachlan Edwards,NYJ,vs BUF,L  10-41,7,312,44.6,36.1,0,1,60,0
Johnny Hekker,LA,vs SEA,W  36-31,2,89,44.5,40.0,0,1,55,0
Bradley Pinion,SF,vs NYG,L  23-27,3,133,44.3,42.0,0,1,47,0
Bryan Anger,TB,vs WAS,L  3-16,1,44,44.0,24.0,1,0,44,0
Cameron Johnston,PHI,vs DAL,L  20-27,2,88,44.0,44.0,0,2,49,0
Colton Schmidt,BUF,@ NYJ,W  41-10,4,174,43.5,34.8,1,1,53,0
Donnie Jones,LAC,@ OAK,W  20-6,4,171,42.8,40.8,0,1,47,0
Michael Palardy,CAR,@ PIT,L  21-52,5,205,41.0,39.0,0,2,46,0
Chris Jones,DAL,@ PHI,W  27-20,4,163,40.8,38.0,0,0,46,0
Jordan Berry,PIT,vs CAR,W  52-21,2,80,40.0,40.0,0,1,52,0
Matt Bosher,ATL,@ CLE,L  16-28,3,118,39.3,37.3,0,2,44,0
Kevin Huber,CIN,vs NO,L  14-51,4,157,39.3,38.8,0,1,42,0
Sam Martin,DET,@ CHI,L  22-34,4,156,39.0,34.5,0,1,54,0
Matt Haack,MIA,@ GB,L  12-31,2,77,38.5,19.0,1,0,39,0
J.K. Scott,GB,vs MIA,W  31-12,1,37,37.0,18.5,0,1,37,1
