Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Sam Bradford,MIN,@ GB,L  25-38,34,50,382,3,0,4,1,110.6
Eli Manning,NYG,@ PHI,L  19-24,38,63,356,1,3,0,0,61.3
Russell Wilson,SEA,vs ARI,L  31-34,29,45,350,4,0,6,1,117.8
Aaron Rodgers,GB,vs MIN,W  38-25,28,38,347,4,0,4,0,136.6
Tyrod Taylor,BUF,vs MIA,L  31-34,26,39,329,3,0,2,0,118.4
Blake Bortles,JAX,vs TEN,W  38-17,26,38,325,1,0,2,0,103.5
Matt Barkley,CHI,vs WAS,L  21-41,24,40,323,2,5,1,0,62.8
Philip Rivers,,@ CLE,L  17-20,23,46,322,2,1,0,0,78.4
Drew Brees,NO,vs TB,W  31-24,23,34,299,1,0,2,0,104.9
Andrew Luck,IND,@ OAK,L  25-33,19,29,288,2,2,0,0,92.3
Carson Palmer,ARI,@ SEA,W  34-31,16,26,284,1,0,1,0,111.7
Ben Roethlisberger,PIT,vs BAL,W  31-27,24,33,279,3,2,0,0,103.0
Matt Ryan,ATL,@ CAR,W  33-16,27,33,277,2,0,4,0,121.8
Jameis Winston,TB,@ NO,L  24-31,23,35,277,2,2,2,0,85.1
Kirk Cousins,WAS,@ CHI,W  41-21,18,29,270,1,0,0,0,104.1
Andy Dalton,CIN,@ HOU,L  10-12,28,41,268,1,1,3,0,84.2
Colin Kaepernick,SF,@ LA,W  22-21,28,37,266,2,1,4,0,101.9
Joe Flacco,BAL,@ PIT,L  27-31,30,44,262,1,1,2,0,81.8
Matthew Stafford,DET,@ DAL,L  21-42,26,46,260,0,1,4,1,63.7
Alex Smith,KC,vs DEN,W  33-10,25,36,244,1,1,0,0,85.9
Matt Moore,MIA,@ BUF,W  34-31,16,30,233,2,1,0,0,87.2
Derek Carr,OAK,vs IND,W  33-25,21,31,232,3,0,1,0,122.0
Tom Brady,NE,vs NYJ,W  41-3,17,27,214,3,0,1,0,124.6
Dak Prescott,DAL,vs DET,W  42-21,15,20,212,3,0,1,0,148.3
Cam Newton,CAR,vs ATL,L  16-33,18,43,198,1,2,2,0,44.5
Trevor Siemian,DEN,@ KC,L  10-33,17,43,183,0,1,0,0,43.1
Tom Savage,HOU,vs CIN,W  12-10,18,29,176,0,0,4,0,79.1
Robert Griffin,CLE,vs,W  20-17,17,25,164,0,0,7,0,86.1
Carson Wentz,PHI,vs NYG,W  24-19,13,24,152,1,1,0,0,70.1
Ryan Fitzpatrick,NYJ,@ NE,L  3-41,8,21,136,0,2,0,0,21.2
Matt Cassel,TEN,@ JAX,L  17-38,13,24,124,1,1,1,0,65.3
Marcus Mariota,TEN,@ JAX,L  17-38,8,20,99,1,0,2,0,72.7
Jared Goff,LA,vs SF,L  21-22,11,24,90,1,2,4,0,35.1
Matthew McGloin,OAK,vs IND,W  33-25,2,3,29,0,0,0,0,97.9
Marqise Lee,JAX,vs TEN,W  38-17,1,1,20,1,0,0,0,158.3
Chase Daniel,PHI,vs NYG,W  24-19,1,1,16,0,0,0,0,118.8
Cody Kessler,CLE,vs,W  20-17,2,3,11,0,0,2,0,72.9
Dez Bryant,DAL,vs DET,W  42-21,1,1,10,1,0,0,0,147.9
Jimmy Garoppolo,NE,vs NYJ,W  41-3,1,2,6,0,0,0,0,56.2
Dontari Poe,KC,vs DEN,W  33-10,1,1,2,1,0,0,0,118.8
Larry Fitzgerald,ARI,@ SEA,W  34-31,0,1,0,0,0,0,0,39.6
Brett Hundley,GB,vs MIN,W  38-25,0,1,0,0,0,0,0,39.6
Bryce Petty,NYJ,@ NE,L  3-41,0,3,0,0,1,2,0,0.0
