Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Marquette King,OAK,@ DEN,L  6-24,8,452,56.5,45.3,2,5,68,0
Thomas Morstead,NO,@ ATL,L  32-38,4,224,56.0,46.3,0,1,59,0
Pat McAfee,IND,vs JAX,W  24-20,4,203,50.8,41.0,0,2,57,1
Donnie Jones,PHI,vs DAL,W  27-13,4,200,50.0,44.3,0,1,53,0
Sam Martin,DET,vs GB,L  24-31,4,200,50.0,45.0,0,2,56,0
Tress Way,WAS,vs NYG,L  10-19,7,348,49.7,43.1,0,1,59,0
Kevin Huber,CIN,vs BAL,W  27-10,5,247,49.4,37.8,1,1,63,0
Drew Kaser,,vs KC,L  27-37,1,49,49.0,-46.0,0,0,49,0
Matt Wile,ARI,@ LA,W  44-6,3,147,49.0,32.3,0,0,54,1
Chris Jones,DAL,@ PHI,L  13-27,4,195,48.8,39.0,0,3,66,1
Ryan Allen,NE,@ MIA,W  35-14,3,146,48.7,44.0,0,0,56,0
Bradley Pinion,SF,vs SEA,L  23-25,6,289,48.2,47.2,0,3,53,0
Johnny Hekker,LA,vs ARI,L  6-44,7,337,48.1,44.4,0,1,73,0
Pat O'Donnell,CHI,@ MIN,L  10-38,3,143,47.7,32.7,0,1,54,0
Britton Colquitt,CLE,@ PIT,L  24-27,4,190,47.5,43.8,0,1,51,0
Shane Lechler,HOU,@ TEN,L  17-24,3,142,47.3,33.7,0,0,49,0
Brad Nortman,JAX,@ IND,L  20-24,4,188,47.0,42.0,1,3,52,0
Matt Bosher,ATL,vs NO,W  38-32,4,185,46.3,43.8,0,1,57,0
Lachlan Edwards,NYJ,vs BUF,W  30-10,5,231,46.2,37.4,1,1,53,0
Jordan Berry,PIT,vs CLE,W  27-24,8,368,46.0,42.8,0,2,64,0
Jon Ryan,SEA,@ SF,W  25-23,4,184,46.0,35.8,0,1,64,0
Bryan Anger,TB,vs CAR,W  17-16,5,229,45.8,45.8,0,5,53,0
Brad Wing,NYG,@ WAS,W  19-10,8,363,45.4,37.9,1,1,55,0
Riley Dixon,DEN,vs OAK,W  24-6,5,224,44.8,41.2,0,1,53,0
Dustin Colquitt,KC,@,W  37-27,1,44,44.0,44.0,0,1,44,0
Sam Koch,BAL,@ CIN,L  10-27,4,175,43.8,40.0,0,2,68,0
Colton Schmidt,BUF,@ NYJ,L  10-30,6,254,42.3,38.3,0,0,49,0
Brett Kern,TEN,vs HOU,W  24-17,5,211,42.2,41.0,0,5,48,0
Matt Darr,MIA,vs NE,L  14-35,5,206,41.2,41.2,0,3,53,0
Michael Palardy,CAR,@ TB,L  16-17,4,164,41.0,39.3,0,1,47,0
Jacob Schum,GB,@ DET,W  31-24,5,186,37.2,37.2,0,3,53,0
Jeff Locke,MIN,vs CHI,W  38-10,2,64,32.0,32.0,0,1,41,0
