Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
J.J. Watt,HOU,vs NYG,L  22-27,3.0,25.0,4,4,4,1,0
Jonathan Allen,WAS,vs GB,W  31-17,2.0,14.0,3,3,2,0,0
Calais Campbell,JAX,vs TEN,L  6-9,2.0,16.0,2,5,0,0,0
Myles Garrett,CLE,vs NYJ,W  21-17,2.0,8.0,2,3,0,0,0
Eli Harold,DET,vs NE,W  26-10,2.0,13.0,2,3,0,0,0
Justin Houston,KC,vs SF,W  38-27,2.0,8.0,2,4,0,2,0
Cameron Jordan,NO,@ ATL,W  43-37,2.0,8.0,2,4,1,0,0
Darius Leonard,IND,@ PHI,L  16-20,2.0,19.0,2,9,4,0,0
Khalil Mack,CHI,@ ARI,W  16-14,2.0,7.0,3,5,0,1,0
Jason Pierre-Paul,TB,vs PIT,L  27-30,2.0,8.0,4,5,0,1,0
Jarran Reed,SEA,vs DAL,W  24-13,2.0,19.0,2,3,0,0,0
Avery Williamson,NYJ,@ CLE,L  17-21,2.0,13.0,2,8,6,0,0
Derek Barnett,PHI,vs IND,W  20-16,1.5,19.5,2,3,2,0,0
Terrell Suggs,BAL,vs DEN,W  27-14,1.5,12.0,2,4,1,1,0
Kemoko Turay,IND,@ PHI,L  16-20,1.5,1.5,2,1,1,0,0
Mario Addison,CAR,vs CIN,W  31-21,1.0,12.0,1,1,0,0,0
Arik Armstead,SF,@ KC,L  27-38,1.0,1.0,1,2,0,0,0
Allen Bailey,KC,vs SF,W  38-27,1.0,8.0,1,3,1,0,0
Vic Beasley,ATL,vs NO,L  37-43,1.0,5.0,1,2,0,0,0
Angelo Blackson,HOU,vs NYG,L  22-27,1.0,7.0,1,3,0,0,0
Jon Bostic,PIT,@ TB,W  30-27,1.0,6.0,1,6,0,0,0
Lorenzo Carter,NYG,@ HOU,W  27-22,1.0,0.0,2,2,0,0,0
Jurrell Casey,TEN,@ JAX,W  9-6,1.0,4.0,0,3,0,1,0
Anthony Chickillo,PIT,@ TB,W  30-27,1.0,9.0,1,1,0,0,0
Bradley Chubb,DEN,@ BAL,L  14-27,1.0,6.0,1,2,0,0,0
Frank Clark,SEA,vs DAL,W  24-13,1.0,0.0,1,2,0,0,0
Marcus Davenport,NO,@ ATL,W  43-37,1.0,7.0,2,1,0,0,0
Carlos Dunlap,CIN,@ CAR,L  21-31,1.0,3.0,1,4,2,1,0
