Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Chris Boswell,PIT,@ CIN,W  24-20,6,6,0,0,18
Dan Bailey,DAL,vs TB,W  26-20,4,6,2,2,14
Graham Gano,CAR,@ WAS,W  26-15,4,5,2,2,14
Sebastian Janikowski,OAK,@,W  19-16,4,4,1,1,13
Nick Novak,HOU,vs JAX,W  21-20,4,4,1,1,13
Mason Crosby,GB,@ CHI,W  30-27,3,3,3,3,12
Wil Lutz,NO,@ ARI,W  48-41,2,2,6,6,12
Caleb Sturgis,PHI,@ BAL,L  26-27,4,4,0,0,12
Matt Bryant,ATL,vs SF,W  41-13,2,2,5,5,11
Stephen Gostkowski,NE,@ DEN,W  16-3,3,3,1,1,10
Adam Vinatieri,IND,@ MIN,W  34-6,2,2,4,4,10
Connor Barth,CHI,vs GB,L  27-30,2,2,3,3,9
Dan Carpenter,BUF,vs CLE,W  33-13,2,2,3,4,9
Dustin Hopkins,WAS,vs CAR,L  15-26,3,3,0,1,9
Justin Tucker,BAL,vs PHI,W  27-26,2,2,3,3,9
Roberto Aguayo,TB,@ DAL,L  20-26,2,2,2,2,8
Randy Bullock,CIN,vs PIT,L  20-24,2,2,2,2,8
Jason Myers,JAX,@ HOU,L  20-21,2,2,2,2,8
Nick Folk,NYJ,vs MIA,L  13-34,2,2,1,1,7
Cody Parkey,CLE,@ BUF,L  13-33,2,2,1,1,7
Ryan Succop,TEN,@ KC,W  19-17,2,2,1,1,7
Kai Forbath,MIN,vs IND,L  6-34,2,2,0,0,6
Stephen Hauschka,SEA,vs LA,W  24-3,1,1,3,3,6
Matt Prater,DET,@ NYG,L  6-17,2,2,0,0,6
Chandler Catanzaro,ARI,vs NO,L  41-48,0,1,5,6,5
Robbie Gould,NYG,vs DET,W  17-6,1,1,2,2,5
Cairo Santos,KC,vs TEN,L  17-19,1,1,2,2,5
Andrew Franks,MIA,@ NYJ,W  34-13,0,0,4,5,4
Josh Lambo,,vs OAK,L  16-19,1,1,1,2,4
Brandon McManus,DEN,vs NE,L  3-16,1,1,0,0,3
Greg Zuerlein,LA,@ SEA,L  3-24,1,1,0,0,3
Phil Dawson,SF,@ ATL,L  13-41,0,0,1,2,1
