Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Cody Parkey,CHI,@ BUF,W  41-9,2,2,5,5,11
Robbie Gould,SF,vs OAK,W  34-3,2,2,4,4,10
Justin Tucker,BAL,vs PIT,L  16-23,3,3,1,1,10
Wil Lutz,NO,vs LA,W  45-35,1,1,6,6,9
Matt Prater,DET,@ MIN,L  9-24,3,3,0,0,9
Greg Zuerlein,LA,@ NO,L  35-45,2,3,3,3,9
Giorgio Tavecchio,ATL,@ WAS,W  38-14,1,1,5,5,8
Harrison Butker,KC,@ CLE,W  37-21,1,1,4,5,7
Ka'imi Fairbairn,HOU,@ DEN,W  19-17,2,2,1,2,7
Stephen Gostkowski,NE,vs GB,W  31-17,1,1,4,4,7
Jason Sanders,MIA,vs NYJ,W  13-6,2,2,1,1,7
Dan Bailey,MIN,vs DET,W  24-9,1,1,3,3,6
Graham Gano,CAR,vs TB,W  42-28,0,0,6,6,6
Jason Myers,NYJ,@ MIA,L  6-13,2,3,0,0,6
Chris Boswell,PIT,@ BAL,W  23-16,1,1,2,3,5
Mason Crosby,GB,@ NE,L  17-31,1,1,2,2,5
Sebastian Janikowski,SEA,vs LAC,L  17-25,1,2,2,2,5
Brandon McManus,DEN,vs HOU,L  17-19,1,3,2,2,5
Chandler Catanzaro,TB,@ CAR,L  28-42,0,0,4,4,4
Ryan Succop,TEN,@ DAL,W  28-14,0,1,4,4,4
Daniel Carlson,OAK,@ SF,L  3-34,1,2,0,0,3
Stephen Hauschka,BUF,vs CHI,L  9-41,1,1,0,0,3
Greg Joseph,CLE,vs KC,L  21-37,1,1,0,0,3
Dustin Hopkins,WAS,vs ATL,L  14-38,0,0,2,2,2
Brett Maher,DAL,vs TEN,L  14-28,0,1,2,2,2
Caleb Sturgis,LAC,@ SEA,W  25-17,0,1,1,3,1
