Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Tyreek Hill,KC,@ NYJ,L  31-38,6,185,30.8,2,0
Jermaine Kearse,NYJ,vs KC,W  38-31,9,157,17.4,0,0
Rob Gronkowski,NE,@ BUF,W  23-3,9,147,16.3,0,0
Nelson Agholor,PHI,@ SEA,L  10-24,7,141,20.1,1,0
Mike Wallace,BAL,vs DET,W  44-20,5,116,23.2,0,0
Robby Anderson,NYJ,vs KC,W  38-31,8,107,13.4,0,0
Le'Veon Bell,PIT,@ CIN,W  23-20,5,106,21.2,1,0
Keenan Allen,LAC,vs CLE,W  19-10,10,105,10.5,1,0
Antonio Brown,PIT,@ CIN,W  23-20,8,101,12.6,1,0
Evan Engram,NYG,@ OAK,L  17-24,7,99,14.1,1,0
Marquise Goodwin,SF,@ CHI,W  15-14,8,99,12.4,0,0
Larry Fitzgerald,ARI,vs LA,L  16-32,10,98,9.8,1,0
Kenny Stills,MIA,vs DEN,W  35-9,5,98,19.6,1,1
Cordarrelle Patterson,OAK,vs NYG,W  24-17,4,97,24.2,0,0
Travis Kelce,KC,@ NYJ,L  31-38,4,94,23.5,2,0
Trent Taylor,SF,@ CHI,W  15-14,6,92,15.3,0,0
Marvin Jones,DET,@ BAL,L  20-44,4,90,22.5,0,0
Marqise Lee,JAX,vs IND,W  30-10,7,86,12.3,1,0
Josh Gordon,CLE,@ LAC,L  10-19,4,85,21.2,0,0
Doug Baldwin,SEA,vs PHI,W  24-10,5,84,16.8,0,0
Todd Gurley,LA,@ ARI,W  32-16,6,84,14.0,0,0
Hunter Henry,LAC,vs CLE,W  19-10,7,81,11.6,0,0
DeAndre Hopkins,HOU,@ TEN,L  13-24,8,80,10.0,0,0
Stephen Anderson,HOU,@ TEN,L  13-24,5,79,15.8,1,0
Dede Westbrook,JAX,vs IND,W  30-10,6,78,13.0,0,0
A.J. Green,CIN,vs PIT,L  20-23,7,77,11.0,2,0
Ryan Grant,WAS,@ DAL,L  14-38,5,76,15.2,1,0
David Njoku,CLE,@ LAC,L  10-19,4,74,18.5,1,0
Braxton Miller,HOU,@ TEN,L  13-24,4,71,17.8,0,0
Michael Thomas,NO,vs CAR,W  31-21,5,70,14.0,1,0
Golden Tate,DET,@ BAL,L  20-44,8,69,8.6,0,0
Travis Benjamin,LAC,vs CLE,W  19-10,4,68,17.0,0,0
Cooper Kupp,LA,@ ARI,W  32-16,5,68,13.6,0,0
Jamison Crowder,WAS,@ DAL,L  14-38,5,67,13.4,0,1
Alvin Kamara,NO,vs CAR,W  31-21,5,66,13.2,0,0
Delanie Walker,TEN,vs HOU,W  24-13,5,63,12.6,1,0
Jarvis Landry,MIA,vs DEN,W  35-9,5,62,12.4,0,0
Dez Bryant,DAL,vs WAS,W  38-14,5,61,12.2,1,0
Alshon Jeffery,PHI,@ SEA,L  10-24,4,61,15.2,0,0
Devin Funchess,CAR,@ NO,L  21-31,4,60,15.0,1,0
Clive Walford,OAK,vs NYG,W  24-17,4,57,14.2,0,0
Andre Ellington,HOU,@ TEN,L  13-24,5,56,11.2,0,0
Sterling Shepard,NYG,@ OAK,L  17-24,3,56,18.7,0,0
Brandon LaFell,CIN,vs PIT,L  20-23,4,55,13.8,0,0
