Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Michael Palardy,CAR,@ NO,W  33-14,3,164,54.7,48.7,0,0,57,0
Matt Wile,MIN,vs CHI,L  10-24,5,257,51.4,51.8,0,2,65,0
Bryan Anger,TB,vs ATL,L  32-34,4,202,50.5,43.5,0,1,59,0
Logan Cooke,JAX,@ HOU,L  3-20,9,449,49.9,43.7,0,1,57,0
Bradley Pinion,SF,@ LA,L  32-48,2,99,49.5,44.0,0,1,55,0
Andy Lee,ARI,@ SEA,L  24-27,5,247,49.4,45.4,1,3,62,0
Matt Bosher,ATL,@ TB,W  34-32,5,245,49.0,43.2,1,2,57,0
Sam Koch,BAL,vs CLE,W  26-24,4,196,49.0,37.5,0,1,56,0
Rigoberto Sanchez,IND,@ TEN,W  33-17,4,191,47.8,45.3,0,2,57,0
Lachlan Edwards,NYJ,@ NE,L  3-38,5,237,47.4,41.8,0,1,51,0
Michael Dickson,SEA,vs ARI,W  27-24,7,330,47.1,30.5,1,1,65,1
Riley Dixon,NYG,vs DAL,L  35-36,2,94,47.0,47.0,0,0,49,0
Donnie Jones,LAC,@ DEN,W  23-9,5,234,46.8,38.2,2,1,56,0
Kevin Huber,CIN,@ PIT,L  13-16,6,278,46.3,43.0,0,1,52,0
Johnny Townsend,OAK,@ KC,L  3-35,4,182,45.5,39.8,1,2,56,0
Brett Kern,TEN,vs IND,L  17-33,6,272,45.3,45.3,0,6,58,0
J.K. Scott,GB,vs DET,L  0-31,7,317,45.3,38.9,1,1,55,0
Britton Colquitt,CLE,@ BAL,L  24-26,4,180,45.0,40.0,1,0,48,0
Tress Way,WAS,vs PHI,L  0-24,5,224,44.8,44.4,0,2,56,0
Pat O'Donnell,CHI,@ MIN,W  24-10,4,175,43.8,42.8,0,2,47,0
Johnny Hekker,LA,vs SF,W  48-32,3,130,43.3,43.3,0,2,48,0
Trevor Daniel,HOU,vs JAX,W  20-3,7,295,42.1,39.7,0,4,60,0
Thomas Morstead,NO,vs CAR,L  14-33,5,210,42.0,42.0,0,1,54,0
Colby Wadman,DEN,vs LAC,L  9-23,6,252,42.0,35.3,2,3,55,0
Cameron Johnston,PHI,@ WAS,W  24-0,3,123,41.0,34.3,0,1,45,0
Sam Martin,DET,@ GB,W  31-0,4,161,40.3,40.3,0,2,53,0
Ryan Allen,NE,vs NYJ,W  38-3,4,159,39.8,39.8,0,2,44,0
Chris Jones,DAL,@ NYG,W  36-35,3,116,38.7,32.3,0,2,45,0
Jordan Berry,PIT,vs CIN,W  16-13,5,189,37.8,37.6,0,4,48,0
Matt Darr,BUF,vs MIA,W  42-17,3,111,37.0,34.0,0,0,44,0
Matt Haack,MIA,@ BUF,L  17-42,5,175,35.0,33.2,0,1,54,0
Dustin Colquitt,KC,vs OAK,W  35-3,1,28,28.0,28.0,0,1,28,0
