Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Graham Gano,CAR,vs NYG,W  33-31,4,4,3,3,15
Ka'imi Fairbairn,HOU,vs DAL,W  19-16,4,5,1,1,13
Harrison Butker,KC,vs JAX,W  30-14,3,3,3,3,12
Ryan Succop,TEN,@ BUF,L  12-13,4,4,0,0,12
Dan Bailey,MIN,@ PHI,W  23-21,3,5,2,2,11
Aldrick Rosas,NYG,@ CAR,L  31-33,3,3,2,2,11
Brett Maher,DAL,@ HOU,L  16-19,3,3,1,1,10
Jason Myers,NYJ,vs DEN,W  34-16,2,3,4,4,10
Randy Bullock,CIN,vs MIA,W  27-17,2,3,3,3,9
Cairo Santos,LA,@ SEA,W  33-31,2,2,3,4,9
Justin Tucker,BAL,@ CLE,L  9-12,3,4,0,0,9
Stephen Gostkowski,NE,vs IND,W  38-24,1,1,5,5,8
Caleb Sturgis,LAC,vs OAK,W  26-10,2,3,2,3,8
Jake Elliott,PHI,vs MIN,L  21-23,2,2,1,1,7
Stephen Hauschka,BUF,vs TEN,W  13-12,2,2,1,1,7
Dustin Hopkins,WAS,@ NO,L  19-43,2,2,1,1,7
Sebastian Janikowski,SEA,vs LA,L  31-33,1,1,4,4,7
Wil Lutz,NO,vs WAS,W  43-19,1,1,4,5,7
Matt Prater,DET,vs GB,W  31-23,1,2,4,4,7
Greg Joseph,CLE,vs BAL,W  12-9,2,3,0,1,6
Adam Vinatieri,IND,@ NE,L  24-38,1,2,3,3,6
Chris Boswell,PIT,vs ATL,W  41-17,0,0,5,6,5
Matt Bryant,ATL,@ PIT,L  17-41,1,1,2,2,5
Jason Sanders,MIA,@ CIN,L  17-27,1,1,2,2,5
Phil Dawson,ARI,@ SF,W  28-18,0,0,4,4,4
Matthew McCrane,OAK,@ LAC,L  10-26,1,2,1,1,4
Brandon McManus,DEN,@ NYJ,L  16-34,1,1,1,1,4
Mason Crosby,GB,@ DET,L  23-31,1,5,0,1,3
Josh Lambo,JAX,@ KC,L  14-30,0,0,2,2,2
Robbie Gould,SF,vs ARI,L  18-28,0,1,0,0,0
