Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Stefon Diggs,MIN,@ WAS,L  20-26,13,164,12.6,0,0
Davante Adams,GB,@ TEN,L  25-47,6,156,26.0,0,0
Antonio Brown,PIT,vs DAL,L  30-35,14,154,11.0,1,0
Julio Jones,ATL,@ PHI,L  15-24,10,135,13.5,0,0
Larry Fitzgerald,ARI,vs SF,W  23-20,12,132,11.0,0,0
Jordy Nelson,GB,@ TEN,L  25-47,12,126,10.5,1,0
Tyrell Williams,,vs MIA,L  24-31,5,125,25.0,1,0
Delanie Walker,TEN,vs GB,W  47-25,9,124,13.8,1,0
Dez Bryant,DAL,@ PIT,W  35-30,6,116,19.3,1,0
Kenny Britt,LA,@ NYJ,W  9-6,7,109,15.6,0,0
Allen Robinson,JAX,vs HOU,L  21-24,9,107,11.9,1,0
DeVante Parker,MIA,@,W  31-24,5,103,20.6,0,0
Martellus Bennett,NE,vs SEA,L  24-31,7,102,14.6,0,0
Michael Floyd,ARI,vs SF,W  23-20,5,101,20.2,0,0
Julian Edelman,NE,vs SEA,L  24-31,7,99,14.1,0,1
Brandin Cooks,NO,vs DEN,L  23-25,3,98,32.7,1,0
Odell Beckham,NYG,vs CIN,W  21-20,10,97,9.7,1,0
Tyler Eifert,CIN,@ NYG,L  20-21,3,96,32.0,0,0
Ezekiel Elliott,DAL,@ PIT,W  35-30,2,95,47.5,1,0
Tyreek Hill,KC,@ CAR,W  20-17,10,89,8.9,0,0
C.J. Prosise,SEA,@ NE,W  31-24,7,87,12.4,0,0
Demaryius Thomas,DEN,@ NO,W  25-23,8,87,10.9,1,0
Kelvin Benjamin,CAR,vs KC,L  17-20,7,84,12.0,0,1
Cameron Brate,TB,vs CHI,W  36-10,7,84,12.0,1,0
Pierre Garcon,WAS,vs MIN,W  26-20,6,81,13.5,0,0
Le'Veon Bell,PIT,vs DAL,L  30-35,9,77,8.6,1,0
Taylor Gabriel,ATL,@ PHI,L  15-24,1,76,76.0,1,0
Jordan Matthews,PHI,vs ATL,W  24-15,6,73,12.2,0,0
Tyler Lockett,SEA,@ NE,W  31-24,3,72,24.0,0,0
Jeremy Kerley,SF,@ ARI,L  20-23,7,71,10.1,1,1
Robby Anderson,NYJ,vs LA,L  6-9,3,69,23.0,0,0
Kyle Rudolph,MIN,@ WAS,L  20-26,5,69,13.8,1,0
A.J. Green,CIN,@ NYG,L  20-21,7,68,9.7,1,0
Tajae Sharpe,TEN,vs GB,W  47-25,3,68,22.7,1,0
Vernon Davis,WAS,vs MIN,W  26-20,3,66,22.0,1,0
Mike Evans,TB,vs CHI,W  36-10,4,66,16.5,0,0
Breshad Perriman,BAL,vs CLE,W  28-7,3,64,21.3,1,0
Antonio Gates,,vs MIA,L  24-31,4,63,15.8,1,0
Rishard Matthews,TEN,vs GB,W  47-25,3,63,21.0,1,0
Melvin Gordon,,vs MIA,L  24-31,5,62,12.4,0,0
Steve Smith,BAL,vs CLE,W  28-7,5,60,12.0,1,0
Doug Baldwin,SEA,@ NE,W  31-24,6,59,9.8,3,0
Jesse James,PIT,vs DAL,L  30-35,4,59,14.8,0,0
Mike Wallace,BAL,vs CLE,W  28-7,4,59,14.8,0,0
Jason Witten,DAL,@ PIT,W  35-30,6,59,9.8,0,0
Darren Sproles,PHI,vs ATL,W  24-15,8,57,7.1,0,0
Devin Funchess,CAR,vs KC,L  17-20,3,56,18.7,1,0
Rob Gronkowski,NE,vs SEA,L  24-31,3,56,18.7,0,0
Zach Ertz,PHI,vs ATL,W  24-15,6,55,9.2,0,0
Emmanuel Sanders,DEN,@ NO,W  25-23,5,54,10.8,0,0
Jarvis Landry,MIA,@,W  31-24,6,53,8.8,0,0
Will Tye,NYG,vs CIN,W  21-20,5,53,10.6,0,0
Quinton Patton,SF,@ ARI,L  20-23,3,52,17.3,0,0
Bilal Powell,NYJ,vs LA,L  6-9,7,52,7.4,1,0
Paul Richardson,SEA,@ NE,W  31-24,2,52,26.0,0,0
Marqise Lee,JAX,vs HOU,L  21-24,4,50,12.5,0,0
Vance McDonald,SF,@ ARI,L  20-23,4,50,12.5,0,0
Cameron Meredith,CHI,@ TB,L  10-36,1,50,50.0,1,0
Jimmy Graham,SEA,@ NE,W  31-24,4,48,12.0,0,0
DeAndre Hopkins,HOU,@ JAX,W  24-21,5,48,9.6,0,0
Terrelle Pryor,CLE,@ BAL,L  7-28,5,48,9.6,0,0
Alshon Jeffery,CHI,@ TB,L  10-36,4,47,11.8,0,0
Willie Snead,NO,vs DEN,L  23-25,5,47,9.4,2,0
Kenny Stills,MIA,@,W  31-24,2,47,23.5,1,0
Adam Humphries,TB,vs CHI,W  36-10,5,46,9.2,0,0
David Johnson,ARI,vs SF,W  23-20,5,46,9.2,1,0
Ted Ginn,CAR,vs KC,L  17-20,5,44,8.8,0,0
Dontrelle Inman,,vs MIA,L  24-31,5,43,8.6,0,0
Freddie Martino,TB,vs CHI,W  36-10,1,43,43.0,1,0
Kenneth Dixon,BAL,vs CLE,W  28-7,5,42,8.4,0,0
Eli Rogers,PIT,vs DAL,L  30-35,4,42,10.5,1,0
Sterling Shepard,NYG,vs CIN,W  21-20,5,42,8.4,1,0
Jordan Reed,WAS,vs MIN,W  26-20,2,41,20.5,0,0
Michael Thomas,NO,vs DEN,L  23-25,4,40,10.0,0,2
Cobi Hamilton,PIT,vs DAL,L  30-35,1,39,39.0,0,0
Greg Olsen,CAR,vs KC,L  17-20,5,39,7.8,0,0
Jermaine Gresham,ARI,vs SF,W  23-20,4,38,9.5,0,0
Cecil Shorts,TB,vs CHI,W  36-10,2,38,19.0,0,0
Jamison Crowder,WAS,vs MIN,W  26-20,4,37,9.2,1,0
Ben Koyack,JAX,vs HOU,L  21-24,3,35,11.7,0,0
Tim Hightower,NO,vs DEN,L  23-25,2,34,17.0,0,0
Cole Beasley,DAL,@ PIT,W  35-30,5,33,6.6,0,0
DeMarco Murray,TEN,vs GB,W  47-25,2,33,16.5,0,0
Devonta Freeman,ATL,@ PHI,L  15-24,3,32,10.7,0,0
Zach Miller,CHI,@ TB,L  10-36,4,32,8.0,0,0
Jordan Taylor,DEN,@ NO,W  25-23,2,32,16.0,1,0
James White,NE,vs SEA,L  24-31,4,32,8.0,0,0
Randall Cobb,GB,@ TEN,L  25-47,4,31,7.8,0,0
Travis Kelce,KC,@ CAR,W  20-17,3,31,10.3,0,0
John Brown,ARI,vs SF,W  23-20,2,30,15.0,0,0
Isaiah Crowell,CLE,@ BAL,L  7-28,3,30,10.0,0,0
Ladarius Green,PIT,vs DAL,L  30-35,3,30,10.0,0,0
Ryan Mathews,PHI,vs ATL,W  24-15,2,30,15.0,0,0
J.J. Nelson,ARI,vs SF,W  23-20,2,29,14.5,0,1
Maurice Harris,WAS,vs MIN,W  26-20,3,28,9.3,0,0
Richard Rodgers,GB,@ TEN,L  25-47,4,27,6.8,0,0
T.J. Yeldon,JAX,vs HOU,L  21-24,3,27,9.0,0,0
Travaris Cadet,NO,vs DEN,L  23-25,2,26,13.0,0,0
Ed Dickson,CAR,vs KC,L  17-20,1,26,26.0,0,0
C.J. Fiedorowicz,HOU,@ JAX,W  24-21,3,26,8.7,0,0
Coby Fleener,NO,vs DEN,L  23-25,2,26,13.0,0,0
Jermaine Kearse,SEA,@ NE,W  31-24,2,26,13.0,0,0
Dennis Pitta,BAL,vs CLE,W  28-7,6,26,4.3,0,0
Torrey Smith,SF,@ ARI,L  20-23,2,26,13.0,0,0
Seth DeValve,CLE,@ BAL,L  7-28,1,25,25.0,1,0
Duke Johnson,CLE,@ BAL,L  7-28,3,25,8.3,0,0
Albert Wilson,KC,@ CAR,W  20-17,4,25,6.2,0,0
Virgil Green,DEN,@ NO,W  25-23,2,24,12.0,0,0
Eddie Royal,CHI,@ TB,L  10-36,1,24,24.0,0,0
Julius Thomas,JAX,vs HOU,L  21-24,6,24,4.0,1,0
A.J. Derby,DEN,@ NO,W  25-23,2,22,11.0,0,0
Rashad Jennings,NYG,vs CIN,W  21-20,3,22,7.3,0,0
Adam Thielen,MIN,@ WAS,L  20-26,3,21,7.0,1,0
Tavon Austin,LA,@ NYJ,W  9-6,2,19,9.5,0,0
Giovani Bernard,CIN,@ NYG,L  20-21,3,19,6.3,0,0
Brandon Coleman,NO,vs DEN,L  23-25,1,19,19.0,0,0
Jerell Adams,NYG,vs CIN,W  21-20,3,18,6.0,1,0
MarQueis Gray,MIA,@,W  31-24,2,18,9.0,0,0
Jordan Norwood,DEN,@ NO,W  25-23,3,18,6.0,0,0
Damien Williams,MIA,@,W  31-24,1,18,18.0,1,0
Geronimo Allison,GB,@ TEN,L  25-47,1,17,17.0,0,0
Corey Coleman,CLE,@ BAL,L  7-28,3,17,5.7,0,0
Jerick McKinnon,MIN,@ WAS,L  20-26,3,17,5.7,0,0
Cordarrelle Patterson,MIN,@ WAS,L  20-26,3,17,5.7,0,0
Ka'Deem Carey,CHI,@ TB,L  10-36,1,16,16.0,0,0
Brian Quick,LA,@ NYJ,W  9-6,2,16,8.0,0,0
Kamar Aiken,BAL,vs CLE,W  28-7,2,15,7.5,0,0
Brandon Marshall,NYJ,vs LA,L  6-9,4,15,3.8,0,0
Danny Amendola,NE,vs SEA,L  24-31,1,14,14.0,0,0
Mohamed Sanu,ATL,@ PHI,L  15-24,2,14,7.0,0,0
Darren Waller,BAL,vs CLE,W  28-7,2,14,7.0,1,0
Allen Hurns,JAX,vs HOU,L  21-24,2,13,6.5,0,0
Mark Ingram,NO,vs DEN,L  23-25,2,13,6.5,0,0
Doug Martin,TB,vs CHI,W  36-10,1,13,13.0,0,0
Malcolm Mitchell,NE,vs SEA,L  24-31,1,13,13.0,0,0
Devontae Booker,DEN,@ NO,W  25-23,2,12,6.0,0,0
