Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Josh Brown,NYG,@ TB,W  32-18,4,4,2,2,14
Graham Gano,CAR,vs GB,W  37-29,3,4,4,4,13
Connor Barth,TB,vs NYG,L  18-32,4,5,0,0,12
Chris Boswell,PIT,vs OAK,W  38-35,3,4,3,3,12
Greg Zuerlein,,@ MIN,L  18-21,4,5,0,0,12
Jason Myers,,@ NYJ,L  23-28,3,3,2,2,11
Matt Bryant,ATL,@ SF,L  16-17,3,3,1,1,10
Dan Bailey,DAL,vs PHI,L  27-33,2,2,3,3,9
Stephen Gostkowski,NE,vs WAS,W  27-10,2,2,3,3,9
Caleb Sturgis,PHI,@ DAL,W  33-27,2,2,3,3,9
Adam Vinatieri,IND,vs DEN,W  27-24,2,2,3,3,9
Ryan Succop,TEN,@ NO,W  34-28,2,3,2,2,8
Dan Carpenter,BUF,vs MIA,W  33-17,1,1,4,4,7
Josh Lambo,,vs CHI,L  19-22,2,2,1,2,7
Mike Nugent,CIN,vs CLE,W  31-10,1,1,4,4,7
Blair Walsh,MIN,vs,W  21-18,2,2,1,1,7
Brandon McManus,DEN,@ IND,L  24-27,1,1,3,3,6
Phil Dawson,SF,vs ATL,W  17-16,1,1,2,2,5
Andrew Franks,MIA,@ BUF,L  17-33,1,1,2,2,5
Sebastian Janikowski,OAK,@ PIT,L  35-38,0,0,5,5,5
Travis Coons,CLE,@ CIN,L  10-31,1,1,1,1,4
Kai Forbath,NO,vs TEN,L  28-34,0,1,4,4,4
Dustin Hopkins,WAS,@ NE,L  10-27,1,1,1,1,4
Ryan Quigley,NYJ,vs,W  28-23,0,0,4,4,4
Mason Crosby,GB,@ CAR,L  29-37,0,0,3,3,3
Robbie Gould,CHI,@,W  22-19,0,2,2,2,2
