Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Julio Jones,ATL,vs CAR,W  20-13,9,178,19.8,1,0
Allen Robinson,JAX,@ NO,L  27-38,6,151,25.2,1,0
Jordan Reed,WAS,@ PHI,W  38-24,9,129,14.3,2,0
Brandin Cooks,NO,vs JAX,W  38-27,5,123,24.6,1,0
Zach Ertz,PHI,vs WAS,L  24-38,13,122,9.4,0,1
Doug Baldwin,SEA,vs,L  17-23,8,118,14.8,1,0
DeAndre Hopkins,HOU,@ TEN,W  34-6,7,117,16.7,1,0
Brandon Marshall,NYJ,vs NE,W  26-20,8,115,14.4,2,0
Michael Floyd,ARI,vs GB,W  38-8,6,111,18.5,0,0
Jarvis Landry,MIA,vs IND,L  12-18,7,111,15.9,0,0
Allen Hurns,JAX,@ NO,L  27-38,8,107,13.4,2,0
Jordan Matthews,PHI,vs WAS,L  24-38,6,104,17.3,1,0
DeVante Parker,MIA,vs IND,L  12-18,4,93,23.2,0,0
David Johnson,ARI,vs GB,W  38-8,3,88,29.3,0,0
Rob Gronkowski,NE,@ NYJ,L  20-26,4,86,21.5,0,0
Sammy Watkins,BUF,vs DAL,W  16-6,5,84,16.8,0,0
Dontrelle Inman,,@ OAK,L  20-23,8,82,10.2,1,0
Pierre Garcon,WAS,@ PHI,W  38-24,7,80,11.4,1,0
Rueben Randle,NYG,@ MIN,L  17-49,2,80,40.0,1,0
Harry Douglas,TEN,vs HOU,L  6-34,6,79,13.2,0,1
Calvin Johnson,DET,vs SF,W  32-17,6,77,12.8,1,0
Willie Snead,NO,vs JAX,W  38-27,4,75,18.8,0,0
Brice Butler,DAL,@ BUF,L  6-16,4,74,18.5,0,0
Charles Sims,TB,vs CHI,L  21-26,3,72,24.0,1,0
Owen Daniels,DEN,vs CIN,W  20-17,5,70,14.0,0,0
Travaris Cadet,NO,vs JAX,W  38-27,3,69,23.0,1,0
Quincy Enunwa,NYJ,vs NE,W  26-20,2,69,34.5,0,0
Zach Miller,CHI,@ TB,W  26-21,7,69,9.9,0,0
Keshawn Martin,NE,@ NYJ,L  20-26,7,68,9.7,0,0
Emmanuel Sanders,DEN,vs CIN,W  20-17,4,67,16.8,1,0
Pierre Thomas,WAS,@ PHI,W  38-24,7,67,9.6,0,0
Roddy White,ATL,vs CAR,W  20-13,5,67,13.4,0,0
Kamar Aiken,BAL,vs PIT,W  20-17,8,66,8.2,0,0
T.Y. Hilton,IND,@ MIA,W  18-12,4,64,16.0,0,0
Theo Riddick,DET,vs SF,W  32-17,7,63,9.0,0,0
Rashad Jennings,NYG,@ MIN,L  17-49,2,62,31.0,0,0
Terrance Williams,DAL,@ BUF,L  6-16,4,62,15.5,0,0
Antonio Brown,PIT,@ BAL,L  17-20,7,61,8.7,0,0
Mike Evans,TB,vs CHI,L  21-26,4,61,15.2,0,0
Vance McDonald,SF,@ DET,L  17-32,5,61,12.2,1,0
Austin Seferian-Jenkins,TB,vs CHI,L  21-26,2,60,30.0,1,0
Golden Tate,DET,vs SF,W  32-17,4,59,14.8,0,0
Demaryius Thomas,DEN,vs CIN,W  20-17,7,59,8.4,0,0
Delanie Walker,TEN,vs HOU,L  6-34,9,59,6.6,0,0
A.J. Green,CIN,@ DEN,L  17-20,5,57,11.4,1,0
Jarius Wright,MIN,vs NYG,W  49-17,3,57,19.0,0,0
Darren Sproles,PHI,vs WAS,L  24-38,7,56,8.0,0,0
Bruce Ellington,SF,@ DET,L  17-32,3,55,18.3,0,0
Kyle Juszczyk,BAL,vs PIT,W  20-17,5,55,11.0,0,0
Kyle Rudolph,MIN,vs NYG,W  49-17,2,53,26.5,1,0
DeAngelo Williams,PIT,@ BAL,L  17-20,6,53,8.8,0,1
Danny Woodhead,,@ OAK,L  20-23,8,53,6.6,0,0
Denard Robinson,JAX,@ NO,L  27-38,5,50,10.0,0,0
Kenny Britt,,@ SEA,W  23-17,3,49,16.3,1,0
Eric Ebron,DET,vs SF,W  32-17,4,49,12.2,0,0
Jeremy Maclin,KC,vs CLE,W  17-13,5,49,9.8,1,0
Heath Miller,PIT,@ BAL,L  17-20,5,49,9.8,0,0
Gary Barnidge,CLE,@ KC,L  13-17,3,47,15.7,0,0
Eric Decker,NYJ,vs NE,W  26-20,3,47,15.7,1,0
Tim Hightower,NO,vs JAX,W  38-27,3,47,15.7,0,0
Cameron Brate,TB,vs CHI,L  21-26,1,46,46.0,0,0
James Jones,GB,@ ARI,L  8-38,5,46,9.2,0,0
Tyler Kroft,CIN,@ DEN,L  17-20,4,46,11.5,0,0
Brandon Coleman,NO,vs JAX,W  38-27,4,45,11.2,0,0
Chris Givens,BAL,vs PIT,W  20-17,2,45,22.5,0,0
Cooper Helfet,SEA,vs,L  17-23,4,43,10.8,0,0
Fred Jackson,SEA,vs,L  17-23,5,43,8.6,0,0
Travis Kelce,KC,vs CLE,W  17-13,6,43,7.2,1,0
Bishop Sankey,TEN,vs HOU,L  6-34,3,43,14.3,0,0
Davante Adams,GB,@ ARI,L  8-38,3,42,14.0,0,0
Malcom Floyd,,@ OAK,L  20-23,3,42,14.0,0,0
Nate Washington,HOU,@ TEN,W  34-6,3,42,14.0,1,0
Markus Wheaton,PIT,@ BAL,L  17-20,3,41,13.7,0,0
DeSean Jackson,WAS,@ PHI,W  38-24,4,40,10.0,0,0
Greg Olsen,CAR,@ ATL,L  13-20,4,40,10.0,0,0
Corey Brown,CAR,@ ATL,L  13-20,3,39,13.0,0,0
Michael Crabtree,OAK,vs,W  23-20,6,39,6.5,1,0
Chris Hogan,BUF,vs DAL,W  16-6,2,39,19.5,0,0
Andre Johnson,IND,@ MIA,W  18-12,3,39,13.0,0,0
Jeremy Butler,BAL,vs PIT,W  20-17,3,38,12.7,0,0
Jermaine Kearse,SEA,vs,L  17-23,3,38,12.7,1,0
Latavius Murray,OAK,vs,W  23-20,5,38,7.6,0,0
Ronnie Hillman,DEN,vs CIN,W  20-17,4,37,9.2,0,0
Darius Jennings,CLE,@ KC,L  13-17,3,37,12.3,0,0
Jordan Norwood,DEN,vs CIN,W  20-17,4,37,9.2,0,0
Seth Roberts,OAK,vs,W  23-20,2,37,18.5,0,0
Lamar Miller,MIA,vs IND,L  12-18,5,36,7.2,0,0
Nelson Agholor,PHI,vs WAS,L  24-38,2,35,17.5,0,0
Javorius Allen,BAL,vs PIT,W  20-17,5,35,7.0,0,0
Jordan Cameron,MIA,vs IND,L  12-18,3,34,11.3,0,0
Bilal Powell,NYJ,vs NE,W  26-20,5,34,6.8,0,0
Myles White,NYG,@ MIN,L  17-49,2,34,17.0,1,0
Albert Wilson,KC,vs CLE,W  17-13,3,34,11.3,0,0
Donald Brown,,@ OAK,L  20-23,3,33,11.0,0,0
Andre Holmes,OAK,vs,W  23-20,3,33,11.0,0,0
Marvin Jones,CIN,@ DEN,L  17-20,3,33,11.0,0,0
Tyler Lockett,SEA,vs,L  17-23,3,33,11.0,0,0
Damien Williams,MIA,vs IND,L  12-18,3,33,11.0,0,0
