Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Jon Ryan,SEA,vs CLE,W  30-13,1,64,64.0,44.0,1,0,64,0
Brett Kern,TEN,@ NE,L  16-33,5,272,54.4,47.2,0,1,61,0
Tim Masthay,GB,@ OAK,W  30-20,4,211,52.8,48.5,1,0,57,0
Kevin Huber,CIN,@ SF,W  24-14,8,413,51.6,41.6,2,0,62,0
Shane Lechler,HOU,@ IND,W  16-10,4,201,50.3,33.5,0,1,59,0
Chris Jones,DAL,vs NYJ,L  16-19,4,198,49.5,47.8,0,1,52,0
Donnie Jones,PHI,vs ARI,L  17-40,3,147,49.0,47.0,0,2,53,0
Tress Way,WAS,vs BUF,W  35-25,3,140,46.7,40.0,1,1,57,0
Dustin Colquitt,KC,@ BAL,W  34-14,5,232,46.4,41.0,0,3,57,0
Matt Darr,MIA,@,L  14-30,8,366,45.8,40.3,0,1,53,0
Ryan Allen,NE,vs TEN,W  33-16,4,182,45.5,39.5,0,0,56,0
Brad Nortman,CAR,@ NYG,W  38-35,7,318,45.4,40.9,0,1,59,0
Brad Wing,NYG,vs CAR,L  35-38,7,315,45.0,35.9,1,2,58,0
Sam Martin,DET,@ NO,W  35-27,3,133,44.3,40.3,0,1,49,0
Johnny Hekker,,vs TB,W  31-23,5,220,44.0,44.0,0,3,49,0
Sam Koch,BAL,vs KC,L  14-34,5,218,43.6,41.4,0,2,50,0
Marquette King,OAK,vs GB,L  20-30,5,217,43.4,38.6,0,2,60,0
Matt Bosher,ATL,@ JAX,W  23-17,5,216,43.2,39.8,0,3,59,0
Britton Colquitt,DEN,@ PIT,L  27-34,6,258,43.0,39.2,0,1,52,0
Andy Lee,CLE,@ SEA,L  13-30,3,129,43.0,41.3,0,1,47,0
Jeff Locke,MIN,vs CHI,W  38-17,3,129,43.0,36.3,1,0,53,0
Thomas Morstead,NO,vs DET,L  27-35,4,172,43.0,37.8,0,0,47,0
Bryan Anger,JAX,vs ATL,L  17-23,6,254,42.3,38.8,0,1,60,0
Pat McAfee,IND,vs HOU,L  10-16,7,288,41.1,38.1,0,5,55,0
Jacob Schum,TB,@,L  23-31,3,122,40.7,40.7,0,1,52,0
Bradley Pinion,SF,vs CIN,L  14-24,7,284,40.6,40.7,0,3,53,0
Ryan Quigley,NYJ,@ DAL,W  19-16,5,203,40.6,36.0,0,2,57,0
Pat O'Donnell,CHI,@ MIN,L  17-38,4,161,40.3,40.3,0,3,45,0
Drew Butler,ARI,@ PHI,W  40-17,4,156,39.0,36.0,0,2,45,0
Jordan Berry,PIT,vs DEN,W  34-27,6,232,38.7,38.0,0,4,44,0
Mike Scifres,,vs MIA,W  30-14,3,110,36.7,31.3,0,0,45,0
Colton Schmidt,BUF,@ WAS,L  25-35,4,140,35.0,33.8,0,0,47,0
