Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Harrison Butker,KC,vs MIA,W  29-13,5,6,2,2,17
Randy Bullock,CIN,vs DET,W  26-17,4,4,2,2,14
Stephen Gostkowski,NE,vs BUF,W  37-16,3,3,4,4,13
Patrick Murray,TB,@ CAR,L  19-22,4,5,1,1,13
Dan Bailey,DAL,vs SEA,L  12-21,4,6,0,0,12
Wil Lutz,NO,vs ATL,W  23-13,3,3,2,2,11
Ryan Succop,TEN,vs LA,L  23-27,3,4,2,2,11
Justin Tucker,BAL,vs IND,W  23-16,3,3,2,2,11
Chris Boswell,PIT,@ HOU,W  34-6,2,2,4,4,10
Kai Forbath,MIN,@ GB,W  16-0,3,3,1,1,10
Graham Gano,CAR,vs TB,W  22-19,3,3,1,2,10
Stephen Hauschka,BUF,@ NE,L  16-37,3,4,1,1,10
Adam Vinatieri,IND,@ BAL,L  16-23,3,5,1,1,10
Dustin Hopkins,WAS,vs DEN,W  27-11,2,2,3,3,9
Robbie Gould,SF,vs JAX,W  44-33,1,1,5,6,8
Matt Bryant,ATL,@ NO,L  13-23,2,2,1,1,7
Jake Elliott,PHI,vs OAK,W  19-10,2,3,1,1,7
Cody Parkey,MIA,@ KC,L  13-29,2,3,1,1,7
Phil Dawson,ARI,vs NYG,W  23-0,1,1,2,3,5
Josh Lambo,JAX,@ SF,L  33-44,1,1,2,3,5
Matt Prater,DET,@ CIN,L  17-26,1,2,2,2,5
Giorgio Tavecchio,OAK,@ PHI,L  10-19,1,2,1,1,4
Sam Ficken,LA,@ TEN,W  27-23,0,1,3,4,3
Zane Gonzalez,CLE,@ CHI,L  3-20,1,1,0,0,3
Brandon McManus,DEN,@ WAS,L  11-27,1,1,0,0,3
Blair Walsh,SEA,@ DAL,W  21-12,0,0,3,3,3
Mike Nugent,CHI,vs CLE,W  20-3,0,0,2,3,2
Nick Rose,LAC,@ NYJ,W  14-7,0,1,2,2,2
Chandler Catanzaro,NYJ,vs LAC,L  7-14,0,0,1,1,1
Aldrick Rosas,NYG,@ ARI,L  0-23,0,1,0,0,0
