Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Ka'imi Fairbairn,HOU,@ NE,L  33-36,4,4,3,3,15
Ryan Succop,TEN,vs SEA,W  33-27,4,4,3,3,15
Stephen Hauschka,BUF,vs DEN,W  26-16,4,4,2,2,14
Jason Myers,JAX,vs BAL,W  44-7,3,3,5,5,14
Matt Prater,DET,vs ATL,L  26-30,4,4,2,2,14
Matt Bryant,ATL,@ DET,W  30-26,3,3,3,3,12
Greg Zuerlein,LA,@ SF,W  41-39,2,2,5,5,11
Kai Forbath,MIN,vs TB,W  34-17,2,2,4,4,10
Wil Lutz,NO,@ CAR,W  34-13,2,3,4,4,10
Brandon McManus,DEN,@ BUF,L  16-26,3,3,1,1,10
Mason Crosby,GB,vs CIN,W  27-24,2,2,3,3,9
Jake Elliott,PHI,vs NYG,W  27-24,2,3,3,3,9
Robbie Gould,SF,vs LA,L  39-41,2,2,3,4,9
Dustin Hopkins,WAS,vs OAK,W  27-10,2,3,3,3,9
Chandler Catanzaro,NYJ,vs MIA,W  20-6,2,3,2,2,8
Graham Gano,CAR,vs NO,L  13-34,2,2,1,1,7
Adam Vinatieri,IND,vs CLE,W  31-28,1,1,4,4,7
Randy Bullock,CIN,@ GB,L  24-27,1,2,3,3,6
Aldrick Rosas,NYG,@ PHI,L  24-27,1,1,3,3,6
Cairo Santos,KC,@ LAC,W  24-10,1,1,3,3,6
Connor Barth,CHI,vs PIT,W  23-17,1,2,2,2,5
Chris Boswell,PIT,@ CHI,L  17-23,1,2,2,2,5
Phil Dawson,ARI,vs DAL,L  17-28,1,2,2,2,5
Nick Folk,TB,@ MIN,L  17-34,1,1,2,2,5
Dan Bailey,DAL,@ ARI,W  28-17,0,0,4,4,4
Zane Gonzalez,CLE,@ IND,L  28-31,0,0,4,4,4
Stephen Gostkowski,NE,vs HOU,W  36-33,0,0,4,4,4
Younghoe Koo,LAC,vs KC,L  10-24,1,1,1,1,4
Giorgio Tavecchio,OAK,@ WAS,L  10-27,1,1,1,1,4
Blair Walsh,SEA,@ TEN,L  27-33,0,0,3,3,3
Justin Tucker,BAL,@ JAX,L  7-44,0,0,1,1,1
Cody Parkey,MIA,@ NYJ,L  6-20,0,0,0,1,0
