Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Justin Tucker,BAL,vs CLE,W  26-24,4,4,2,2,14
Greg Zuerlein,LA,vs SF,W  48-32,2,2,6,6,12
Matt Bryant,ATL,@ TB,W  34-32,2,2,4,4,10
Zane Gonzalez,ARI,@ SEA,L  24-27,3,3,1,1,10
Matthew McCrane,PIT,vs CIN,W  16-13,3,3,1,1,10
Chandler Catanzaro,CAR,@ NO,W  33-14,2,2,3,4,9
Sebastian Janikowski,SEA,vs ARI,W  27-24,2,2,3,3,9
Aldrick Rosas,NYG,vs DAL,L  35-36,2,2,3,3,9
Adam Vinatieri,IND,@ TEN,W  33-17,2,2,3,4,9
Ka'imi Fairbairn,HOU,vs JAX,W  20-3,2,2,2,2,8
Stephen Gostkowski,NE,vs NYJ,W  38-3,1,1,5,5,8
Cairo Santos,TB,vs ATL,L  32-34,2,2,2,2,8
Randy Bullock,CIN,@ PIT,L  13-16,2,2,1,1,7
Matt Prater,DET,@ GB,W  31-0,1,1,4,4,7
Jake Elliott,PHI,@ WAS,W  24-0,1,1,3,3,6
Robbie Gould,SF,@ LA,L  32-48,1,1,3,3,6
Stephen Hauschka,BUF,vs MIA,W  42-17,0,1,6,6,6
Greg Joseph,CLE,@ BAL,L  24-26,1,2,3,3,6
Harrison Butker,KC,vs OAK,W  35-3,0,0,5,5,5
Jason Sanders,MIA,@ BUF,L  17-42,1,1,2,2,5
Ryan Succop,TEN,vs IND,L  17-33,1,1,2,2,5
Dan Bailey,MIN,vs CHI,L  10-24,1,1,1,1,4
Brett Maher,DAL,@ NYG,W  36-35,0,1,4,4,4
Cody Parkey,CHI,@ MIN,W  24-10,1,1,1,2,4
Michael Badgley,LAC,@ DEN,W  23-9,0,0,3,3,3
Daniel Carlson,OAK,@ KC,L  3-35,1,1,0,0,3
Kai Forbath,JAX,@ HOU,L  3-20,1,1,0,0,3
Brandon McManus,DEN,vs LAC,L  9-23,1,1,0,0,3
Jason Myers,NYJ,@ NE,L  3-38,1,1,0,0,3
Wil Lutz,NO,vs CAR,L  14-33,0,0,2,2,2
