Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Ezekiel Ansah,DET,vs GB,W  35-11,3.0,31.0,5,4,0,0,0
Tyson Alualu,PIT,vs CLE,W  28-24,2.0,15.0,2,6,2,0,0
James Harrison,NE,vs NYJ,W  26-6,2.0,10.0,2,3,2,1,0
Chandler Jones,ARI,@ SEA,W  26-24,2.0,9.0,3,5,1,0,0
Ryan Kerrigan,WAS,@ NYG,L  10-18,2.0,11.0,1,2,0,1,0
Tanoh Kpassagnon,KC,@ DEN,W  27-24,2.0,17.0,2,4,3,0,0
Cameron Wake,MIA,vs BUF,L  16-22,1.5,7.5,2,1,1,0,0
Sam Acho,CHI,@ MIN,L  10-23,1.0,7.0,3,1,1,0,0
Eli Ankou,JAX,@ TEN,L  10-15,1.0,7.0,1,1,1,0,0
David Bass,NYJ,@ NE,L  6-26,1.0,6.0,1,2,0,0,0
Vic Beasley,ATL,vs CAR,W  22-10,1.0,8.0,1,1,0,0,0
Vonn Bell,NO,@ TB,L  24-31,1.0,11.0,1,9,1,0,0
Joey Bosa,LAC,vs OAK,W  30-10,1.0,6.0,2,2,3,0,1
Caleb Brantley,CLE,@ PIT,L  24-28,1.0,6.0,1,1,1,0,1
Anthony Brown,DAL,@ PHI,W  6-0,1.0,14.0,1,5,1,0,0
Jurrell Casey,TEN,vs JAX,W  15-10,1.0,2.0,1,3,1,0,0
Xavier Cooper,NYJ,@ NE,L  6-26,1.0,6.0,1,2,0,0,0
Mike Daniels,GB,@ DET,L  11-35,1.0,10.0,1,3,0,0,0
Marcell Dareus,JAX,@ TEN,L  10-15,1.0,4.0,1,3,0,0,0
Sean Davis,PIT,vs CLE,W  28-24,1.0,12.0,1,2,1,0,0
Sheldon Day,SF,@ LA,W  34-13,1.0,9.0,2,4,1,0,0
Elvis Dumervil,SF,@ LA,W  34-13,1.0,5.0,1,2,0,0,0
Carlos Dunlap,CIN,@ BAL,W  31-27,1.0,9.0,3,1,0,0,0
Ukeme Eligwe,KC,@ DEN,W  27-24,1.0,1.0,2,3,0,0,0
Marquis Flowers,NE,vs NYJ,W  26-6,1.0,8.0,1,4,0,0,0
L.J. Fort,PIT,vs CLE,W  28-24,1.0,7.0,1,1,0,0,0
Myles Garrett,CLE,@ PIT,L  24-28,1.0,4.0,1,3,0,1,0
Reggie Gilbert,GB,@ DET,L  11-35,1.0,8.0,1,2,0,0,0
Shelby Harris,DEN,vs KC,L  24-27,1.0,8.0,1,2,0,0,0
Ramon Humber,BUF,@ MIA,W  22-16,1.0,8.0,1,5,0,0,0
Grady Jarrett,ATL,vs CAR,W  22-10,1.0,11.0,2,3,0,0,0
Reshad Jones,MIA,vs BUF,L  16-22,1.0,0.0,0,7,1,0,0
Chris Jones,KC,@ DEN,W  27-24,1.0,10.0,1,2,0,1,0
Datone Jones,DAL,@ PHI,W  6-0,1.0,9.0,1,2,1,0,0
Cameron Jordan,NO,@ TB,L  24-31,1.0,7.0,3,4,0,0,0
Dion Jordan,SEA,vs ARI,L  24-26,1.0,2.0,0,2,1,1,0
Matt Judon,BAL,vs CIN,L  27-31,1.0,9.0,1,3,0,0,0
Devon Kennard,NYG,vs WAS,W  18-10,1.0,10.0,1,1,1,0,0
Eric Lee,NE,vs NYJ,W  26-6,1.0,7.0,1,1,1,0,0
Cameron Malveaux,MIA,vs BUF,L  16-22,1.0,8.0,1,1,1,0,0
Cassius Marsh,SF,@ LA,W  34-13,1.0,6.0,1,3,0,1,0
Clinton McDonald,TB,vs NO,W  31-24,1.0,7.0,1,4,1,0,0
Steven Means,PHI,vs DAL,L  0-6,1.0,7.0,2,3,0,0,0
Carl Nassib,CLE,@ PIT,L  24-28,1.0,5.0,1,1,1,0,0
Brian Orakpo,TEN,vs JAX,W  15-10,1.0,10.0,3,2,0,0,0
Olsen Pierre,ARI,@ SEA,W  26-24,1.0,17.0,2,4,0,1,0
Jason Pierre-Paul,NYG,vs WAS,W  18-10,1.0,6.0,1,2,0,0,0
Keith Reaser,KC,@ DEN,W  27-24,1.0,0.0,0,4,0,0,0
Hassan Ridgeway,IND,vs HOU,W  22-13,1.0,8.0,1,1,2,0,0
Roy Robertson-Harris,CHI,@ MIN,L  10-23,1.0,2.0,2,3,1,0,0
Brian Robison,MIN,vs CHI,W  23-10,1.0,7.0,1,2,0,0,0
